all_taxa	Growth.Rate	max_xyl1_estAI	max_xyl2_estAI	max_xyl3_estAI
candida tropicalis	0.173575505	0.967281879	0.929110738	0.86283557
candida vartiovaarae		0.968891403	0.799585219	0.527714932
candida wancherniae	0	0.972167434	0.703265396	0.75849222
cephaloascus albidus	0.361234779	0.967778497	0.924546632	0.495142487
cephaloascus fragrans	0	0.978106185	0.679620507	0.491698595
citeromyces hawaiiensis	0	0.944740346	0.860852197	0.628328895
citeromyces matritensis	0	0.904346471	0.710702602	0.671911513
citeromyces siamensis	0	0.925082873	0.878563536	0.575027624
clavispora lusitaniae	0.20085219	0.927659574	0.917133259	0.603807391
cyberlindnera americana	0.695865394	0.968265548	0.876345067	0.596206456
cyberlindnera fabianii	0.211013736	0.91804755	0.714517291	0.6745317
cyberlindnera jadinii	0.15288162	0.913345521	0.608957952	0.45904936
cyberlindnera maclurae	0	0.861004601	0.552530675	0.491180982
cyberlindnera misumaiensis	0.330916567	0.92165811	0.680927933	0.500095075
cyberlindnera mrakii	0.173722652	0.95620438	0.886950329	0.580380986
cyberlindnera petersonii	0.222794836	0.967712177	0.818819188	0.676383764
cyberlindnera saturnus	0.138286886	0.954309623	0.894225941	0.63916318
cyberlindnera suaveolens	0.311985854	0.948016664	0.879731933	0.661836624
cyberlindnera xylosilytica	0.384959885	0.981894601	0.817006143	0.706757194
danielozyma ontarioensis	0	0.964755925	0.784484505	0.762811424
deakozyma indianensis	0.610861411	0.974339334	0.849291459	0.155112984
debaryomyces fabryi	0.41348061	0.950851023	0.85102314	0.664754255
debaryomyces hansenii	0.531917629	0.939278937	0.834914611	0.735294118
debaryomyces maramus	0.16481472	0.920940995	0.817585808	0.456806788
debaryomyces nepalensis	0.580325312	0.954302103	0.75124283	0.667877629
debaryomyces prosopidis	0.370437394	0.957507082	0.872521246	0.799575071
debaryomyces subglobosus	0.240921448	0.956605967	0.863812476	0.69527315
dekkera bruxellensis		0.753350165	0.859001748	0.266847932
diddensiella caesifluorescens	0.325621165	0.948314222	0.665240459	0.028752353
dipodascus albidus	1.644636283	0.940878378	0.948710074	0.582309582
dipodascus geniculatus		0.962240403	0.924795469	0.726085588
eremothecium coryli		0.923566879		
eremothecium cymbalariae		0.936873747		
eremothecium gossypii		0.838863691	0.502506565	0.193124851
eremothecium sinecaudum			0.66328801	0.603461063
geotrichum candidum	0	0.966516517	0.94039039	0.404954955
hanseniaspora clermontiae	0	0.905717151		
hanseniaspora osmophila	0	0.830284329		0.719858938
hanseniaspora pseudoguilliermondii	0	0.837625705		
hanseniaspora singularis	0	0.866260658		
hanseniaspora uvarum		0.91764343		
hanseniaspora valbyensis	0	0.860438556		
hanseniaspora vinae	0	0.892867133		0.77958042
hyphopichia burtonii	0	0.889182595	0.819642131	0.818218788
hyphopichia heimii	0.445830977	0.976269316	0.878771155	0.825239146
kazachstania aerobia	0	0.946988449		0.524339934
kazachstania africana		0.776497222		0.465939494
kazachstania bromeliacearum	0	0.897859327		0.261569827
kazachstania intestinalis	0	0.947762792		0.512095911
kazachstania kunashirensis	0	0.79216806		0.345298797
kazachstania martiniae	0	0.905285911		0.693652977
kazachstania naganishii	0	0.891897609		0.335519357
kazachstania rosinii		0.855759532	0.329029655	0.438369982
kazachstania siamensis	0	0.945145933		0.501552474
kazachstania solicola	0	0.934091347		0.542493737
kazachstania spencerorum	0	0.724376991	0.173693086	0.267940791
kazachstania taianensis		0.934351775	0.299257567	0.032824112
kazachstania transvaalensis	0	0.882461823		0.102961592
kazachstania turicensis		0.892823149		0.155530173
kazachstania unispora	0	0.938376457		0.400158009
kazachstania viticola		0.903630745		0.426998841
kazachstania yakushimaensis		0.694697597		0.058616404
kloeckera hatyaiensis	0	0.666666667		
kluyveromyces aestuarii	0	0.872890642	0.57089634	0.20162174
kluyveromyces dobzhanskii	0	0.923756192	0.758776653	0.645272453
kluyveromyces lactis	0	0.938685209	0.817319848	0.55562579
kluyveromyces marxianus	0	0.98251905	0.755490811	0.9027342
kodamaea laetipori	0.364211383	0.870275067	0.916060337	0.670097604
kodamaea ohmeri	0	0.968228753	0.845115171	0.563343924
komagataella pastoris	0.166347026	0.57626753	0.458252427	0.424811219
komagataella populi	0	0.802728454	0.558466869	0.360545691
komagataella pseudopastoris	0	0.826523625	0.655558092	0.275964392
kregervanrija delftensis	0	0.941676323	0.91193511	0.684820394
kregervanrija fluxuum	0	0.920375587	0.902910798	0.674929577
kuraishia capsulata	0.217562796	0.942659694	0.528016436	0.526522226
kuraishia molischiana	0.25353123	0.928759398	0.877631579	0.534398496
kuraishia ogatae	0.250078689	0.963885193	0.697395932	0.667933853
kurtzmaniella cleridarum	0.176953225	0.859193707	0.458210423	0.370108161
lachancea cidri		0.88184629	0.79770318	0.390238516
lachancea dasiensis	0	0.803816467	0.701329331	0.319682676
lachancea fantastica	0	0.824050633	0.908438819	0.247679325
lachancea fermentati	0	0.894130203	0.590821772	0.583137673
lachancea kluyveri	0	0.893015745	0.792490916	0.157246669
lachancea lanzarotensis	0	0.866758242	0.745192308	0.371108059
lachancea meyersii	0	0.931750742	0.667867741	0.41458245
lachancea mirantina	0	0.926006058	0.75378624	0.315231502
lachancea nothofagi	0	0.814291649	0.784171167	0.103448276
lachancea quebecensis		0.861148497	0.833109017	0.512337371
lachancea thermotolerans	0	0.919930751	0.868859554	0.656351439
lachancea waltii	0	0.81480663	0.973038674	0.305635359
lipomyces arxii	1.144972613	0.909542195	0.936431329	0.319360177
lipomyces doorenjongii		0.96377749	0.979116614	0.856218814
lipomyces japonicus	1.202911662	0.960226299	0.99057089	0.087433568
lipomyces kononenkoae		0.944227713	0.861002745	0.408322497
lipomyces lipofer		0.974565494	0.913946588	0.347039706
lipomyces mesembrius		0.967732162	0.848204817	0.40796849
lipomyces oligophaga		0.671373556	0.883550339	0.192554557
lipomyces starkeyi	1.046347267	0.971148958	0.897432639	0.415988815
lipomyces suomiensis		0.97890223	0.923327616	0.621783877
lodderomyces elongisporus	0		0.852532592	0.717674717
magnusiomyces tetrasperma	0		0.863931446	0.061023111
metschnikowia aberdeeniae	0.519784198	0.940174672	0.893886463	0.813755459
metschnikowia arizonensis		0.960332817	0.901509288	0.892027864
metschnikowia bicuspidata	0	0.861265718	0.786641929	0.599670171
metschnikowia borealis	0.701329033	0.97704171	0.92253768	0.759025587
metschnikowia bowlesiae	0	0.961619651	0.944348494	0.689694876
metschnikowia cerradonensis	0.732856565	0.967413793	0.946551724	0.798448276
metschnikowia continentalis	0.394420359	0.965594744	0.950726141	0.760892116
metschnikowia dekortum	0	0.951522436	0.868790064	0.791065705
metschnikowia drakensbergensis	0	0.922026061	0.860655738	0.68852459
metschnikowia hamakuensis	0.324586223	0.965299114	0.926441352	0.862642328
metschnikowia hawaiiensis	0.441732364	0.964220518	0.936838262	0.865279299
metschnikowia hibisci	0.431284169	0.966031483	0.948011599	0.858119304
metschnikowia ipomoeae		0.968120191	0.949615244	0.82924148
metschnikowia kamakouana		0.956780638	0.933346139	0.864003073
metschnikowia kipukae	0	0.952865449	0.881436877	0.617317276
metschnikowia lockheadii	0.710995601	0.967792753	0.931559601	0.66760021
metschnikowia matae	1.077972967	0.964598842	0.936807279	0.749379653
metschnikowia matae maris	0.392960435	0.965723525	0.923039612	0.766046888
metschnikowia mauinuiana		0.96456621	0.927305936	0.856438356
metschnikowia proteae	0	0.919523712	0.8466434	0.742763293
metschnikowia santaceciliae		0.972046414	0.937060478	0.843706048
metschnikowia shivogae	0.282336899	0.980409042	0.796555436	0.769860065
metschnikowia similis	0.227538067	0.967741935	0.906744868	0.664516129
meyerozyma caribbica	0.369100472	0.953449709	0.630507066	0.790939318
meyerozyma guilliermondii		0.971371945	0.813697423	0.774058577
millerozyma acaciae	0.070625666	0.833012203	0.878612717	0.411903233
nadsonia fulvescens var elongata		0.883128778	0.79978018	0.484704158
nakaseomyces bacillisporus	0	0.943839791		0.329560296
nakaseomyces bracarensis		0.929215961		0.242430319
nakaseomyces castellii	0	0.945491252		0.616868551
nakaseomyces delphensis	0	0.888470391		0.431889517
nakaseomyces nivariensis		0.964912281		0.419420645
nakazawaea holstii	0	0.973572939	0.789816772	0.811310782
nakazawaea peltata	0.457573847	0.992589778	0.920387612	0.58065742
naumovozyma castellii	0	0.915691331	0.7641341	0.510612974
naumovozyma dairenensis		0.936864015		0.325393154
ogataea glucozyma	0	0.956843626	0.77555074	0.770314193
ogataea henricii		0.952125622	0.874377633	0.250478744
ogataea kodamae	0	0.89843932	0.365012812	0.193337992
ogataea methanolica	0.112284546	0.965485922	0.937148047	0.683742053
ogataea methylivora	0.49543014	0.950383008	0.741991643	0.668871866
ogataea minuta	0	0.94452381	0.821190476	0.22952381
ogataea naganishii	0.406096817	0.970639704	0.925724285	0.693952946
ogataea nitratoaversa	0.528883368	0.978350131	0.95558044	0.888577828
ogataea nonfermentans	0	0.966636446	0.762647325	0.431006346
ogataea parapolymorpha	0	0.927036482	0.650424788	0.316841579
ogataea philodendra	0	0.957432583	0.624693559	0.449743704
ogataea pilisensis	0	0.971006254	0.941064999	0.758006443
ogataea pini	0	0.938969874	0.833041788	0.325364431
ogataea polymorpha	0	0.939631902	0.838773006	0.521472393
ogataea populiabae	0	0.651477119	0.897856729	0.278239042
ogataea ramenticola	0.420175779	0.919581073	0.90405835	0.845520853
ogataea trehaloabstinens	2.146021726	0.828582076	0.798024967	0.631637786
ogataea trehalophila	0.055391381	0.952354049	0.928248588	0.730131827
ogataea zsoltii	0.338411329	0.973483403	0.6474628	0.628958413
pachysolen tannophilus	0.313437257	0.95423856	0.932108027	0.728807202
peterozyma toletana	0.195277046	0.938970338	0.846573474	0.336856461
peterozyma xylosa		0.922844444	0.746666667	0.295466667
phaffomyces antillensis	0	0.946518106	0.646610956	0.190714949
phaffomyces opuntiae	0	0.95278031	0.770829535	0.199635369
phaffomyces thermotolerans	0	0.939470122	0.4565848	0.253335912
pichia exigua	0	0.935785953	0.695652174	0.60490524
pichia heedii	0.522594544	0.988046958	0.852721451	0.802561366
pichia kudriavzevii	0	0.929150662	0.820529236	0.570209134
pichia membranifaciens	0	0.957378454	0.77104305	0.63396873
pichia nakasei	0	0.934945165	0.741525424	0.658524427
pichia norvegensis	0	0.917967891	0.797448867	0.389927425
pichia occidentalis	0	0.922046285	0.305115713	0.064961429
pichia terricola	0	0.927137239	0.610639619	0.435727593
priceomyces carsonii	0.306334006	0.980549841	0.52964279	0.538619787
priceomyces castillae	0.339677301	0.965070886	0.635298952	0.636120814
priceomyces haplophilus	0.234133802	0.970092671	0.487573715	0.593513058
priceomyces medius	0.95994681	0.954801125	0.738449176	0.746484532
saccharomyces arboricola		0.8	0.778351784	0.555719557
saccharomyces cerevisiae		0.800360794	0.673882542	0.177991581
saccharomyces eubayanus		0.801143583	0.619017366	0.530283778
saccharomyces kudriavzevii		0.848212327	0.831980698	0.386707611
saccharomyces mikatae		0.790499124	0.704810341	0.462565674
saccharomyces paradoxus		0.786183513	0.801444043	0.339478703
saccharomyces uvarum		0.826077724	0.642105263	0.566574644
saccharomycopsis capsularis		0.959064327	0.850302506	0.627067669
saccharomycopsis malanga		0.956439067	0.950579929	0.294209162
saturnispora dispora	0	0.812275986	0.250672043	0.098167759
saturnispora hagleri	0	0.880376632	0.707896426	0.270385305
saturnispora mendoncae	0	0.699670743	0.708137347	0.603466724
saturnispora saitoi	0	0.792750723	0.73471203	0.45696143
saturnispora serradocipensis	0	0.884095861	0.440958606	0.273070936
saturnispora silvae	0	0.850622407	0.500691563	0.193681917
saturnispora zaruensis	0	0.831424249	0.417549168	0.303868597
scheffersomyces lignosus	0.481634779	0.982192737	0.95478352	0.880586592
scheffersomyces stipitis	0.712437802	0.992031167	0.944395254	0.83070657
spathaspora arborariae	0.461539829	0.997138185	0.947465249	0.889615699
spathaspora girioi		0.994629003	0.979709568	0.925203899
spathaspora gorwiae		0.991231648	0.986541599	0.929445351
spathaspora hagerdaliae		0.983653846	0.99	0.930384615
spathaspora passalidarum	0.58107421	0.990474412	0.970489354	0.931266343
sporopachydermia lactativora	0	0.932454695	0.942522424	0.912319239
sporopachydermia quercuum	0.925854645	0.9503037	0.959874839	0.586600405
starmera amethionina		0.868932993	0.416977795	0.174887011
starmera quercuum	0	0.966233766	0.361410019	0.03432282
sugiyamaella lignohabitans	0.697917242	0.992094135	0.982165839	0.756021327
tetrapisispora blattae		0.916666667		
tetrapisispora fleetii	0	0.851889683		
tetrapisispora iriomotensis	0	0.911246082		0.573275862
tetrapisispora namnaonensis	0	0.844786256		
tetrapisispora phaffii	0	0.904945718		0.349577805
tortispora caseinolytica	1.51032555	0.967711963	0.659001161	0.313124274
tortispora ganteri		0.852452026	0.073347548	0.546908316
tortispora starmeri		0.8667962	0.187176166	0.235319516
torulaspora delbrueckii	0	0.918470751	0.875863657	0.649930907
torulaspora franciscae	0	0.941547519	0.847771236	0.384356602
torulaspora maleeae	0	0.974022821	0.860888565	0.655741685
torulaspora microellipsoides	0	0.906656006	0.929042574	0.514091545
torulaspora pretoriensis	0	0.93699187	0.846452328	0.32187731
trigonopsis variabilis	0		0.899025341	0.407797271
trigonopsis vinaria	0		0.829141717	0.152295409
vanderwaltozyma polyspora	0		0.411965423	0.487261146
wickerhamia fluorescens	0	0.874291498	0.605060729	0.682186235
wickerhamomyces alni	0.598666945	0.976301616	0.842010772	0.538779174
wickerhamomyces anomalus	0	0.892984542	0.536436215	0.721420078
wickerhamomyces bovis	0.204896106	0.968578736	0.819693095	0.314760687
wickerhamomyces canadensis	0.265695786	0.941752761	0.858033488	0.479337371
wickerhamomyces ciferrii	0	0.921067157	0.650781969	0.754369825
wickerhamomyces hampshirensis	0.216538714	0.935339423	0.880530181	0.200608992
yamadazyma nakazawae	0.330661156	0.969065912	0.903558431	0.818236959
yamadazyma philogaea	0.620596812	0.97844546	0.832353582	0.863487916
yamadazyma scolyti	1.032050583	0.952195322	0.924292162	0.856791137
yarrowia bubula	0		0.707653701	0.430363864
yarrowia deformans	0		0.52092422	0.379382776
yarrowia divulgata	0		0.591262907	0.396028594
yarrowia keelungensis	0		0.79025354	0.372242344
yarrowia lipolytica	0		0.746524939	0.339820114
yueomyces sinensis		0.915064103		
zygoascus meyerae	0	0.95409898		0.558934643
zygoascus ofunaensis	0.498346357	0.984377941	0.047995483	0.450592885
zygosaccharomyces bailii		0.933608059	0.93246337	0.30242674
zygosaccharomyces bisporus	0	0.925582447	0.956118525	0.463469803
zygosaccharomyces kombuchaensis	0	0.949408983	0.874704492	0.413711584
zygosaccharomyces rouxii	0	0.967444993	0.798158958	0.267849124
zygotorulaspora florentina	0	0.902036442	0.800857449	0.51318328
zygotorulaspora mrakii	0	0.944890674	0.898036591	0.476126729
botryozyma nematodophila	NA	NA	NA	NA
candida sojae	0.234378605	NA	NA	NA
martiniozyma abiesophila	0	NA	NA	NA
middelhovenomyces tepae	1.300924713	NA	NA	NA
nadsonia fulvescens	NA	NA	NA	NA
spencermartinsiella europaea	0	NA	NA	NA
starmerella apicola	NA	NA	NA	NA
starmerella bombicola	0	NA	NA	NA
wickerhamiella cacticola	0	NA	NA	NA
wickerhamiella domercqiae	NA	NA	NA	NA
wickerhamiella infanticola	0	NA	NA	NA
wickerhamiella versatilis	0	NA	NA	NA
saprochaete clavata	NA	NA	NA	NA
