taxon	copy.no	gene	stAI
debaryomyces maramus	1	xyl1	0.505923874152497
debaryomyces nepalensis	1	xyl1	0.324851930934369
debaryomyces prosopidis	1	xyl1	0.500579812784993
debaryomyces subglobosus	1	xyl1	0.573948277355508
dekkera bruxellensis	1	xyl1	0.299828331025473
diddensiella caesifluorescens	1	xyl1	0.497312916657049
dipodascus albidus	1	xyl1	0.49859309560372
dipodascus geniculatus	1	xyl1	0.485593933702814
eremothecium coryli	1	xyl1	0.283404525983286
eremothecium cymbalariae	1	xyl1	0.388411697613342
eremothecium gossypii	1	xyl1	0.335129988607209
geotrichum candidum	1	xyl1	0.328009974624159
hanseniaspora clermontiae	1	xyl1	0.301253015052237
hanseniaspora osmophila	1	xyl1	0.398467781013358
hanseniaspora pseudoguilliermondii	1	xyl1	0.305421353855184
hanseniaspora singularis	1	xyl1	0.190451598112496
hanseniaspora uvarum	1	xyl1	0.341698386270844
hanseniaspora valbyensis	1	xyl1	0.267720422670703
hanseniaspora vinae	1	xyl1	0.47400161386426
hyphopichia burtonii	1	xyl1	0.439225336341194
hyphopichia heimii	1	xyl1	0.600738027963541
kazachstania aerobia	1	xyl1	0.523541210371961
kazachstania africana	1	xyl1	0.426975365547608
kazachstania bromeliacearum	1	xyl1	0.496217302416049
kazachstania intestinalis	1	xyl1	0.333539773267925
kazachstania kunashirensis	1	xyl1	0.552315876114633
kazachstania martiniae	1	xyl1	0.46516944003647
kazachstania naganishii	1	xyl1	0.376382361374067
kazachstania rosinii	1	xyl1	0.378320968219205
kazachstania siamensis	1	xyl1	0.578412839614611
kazachstania solicola	1	xyl1	0.460601086197089
kazachstania spencerorum	1	xyl1	0.462569853347474
kazachstania taianensis	1	xyl1	0.386391335091524
kazachstania transvaalensis	1	xyl1	0.33438869223019
kazachstania turicensis	1	xyl1	0.629685873135736
kazachstania unispora	1	xyl1	0.670186196903407
kazachstania viticola	1	xyl1	0.44410793051361
kazachstania yakushimaensis	1	xyl1	0.51739088928378
kazachstania yakushimaensis	2	xyl1	0.514743938468748
kloeckera hatyaiensis	1	xyl1	0.200967721043577
kluyveromyces aestuarii	1	xyl1	0.323010536437448
kluyveromyces dobzhanskii	1	xyl1	0.3733297908936
kluyveromyces lactis	1	xyl1	0.343814670540645
kluyveromyces marxianus	1	xyl1	0.43588490119265
kodamaea laetipori	1	xyl1	0.47383254811709
kodamaea ohmeri	1	xyl1	0.512334170688013
kodamaea ohmeri	2	xyl1	0.434476335890788
komagataella pastoris	1	xyl1	0.296239509295013
komagataella populi	1	xyl1	0.314749872877601
komagataella pseudopastoris	1	xyl1	0.317156611048061
kregervanrija delftensis	1	xyl1	0.50149404303987
kregervanrija fluxuum	1	xyl1	0.517881516886265
kuraishia capsulata	1	xyl1	0.555927748560071
kuraishia molischiana	1	xyl1	0.439429413403776
kuraishia ogatae	1	xyl1	0.524157954113011
kurtzmaniella cleridarum	1	xyl1	0.303789746826758
lachancea cidri	1	xyl1	0.318084822700915
lachancea dasiensis	1	xyl1	0.280676728293446
lachancea fantastica	1	xyl1	0.247625609541626
lachancea fermentati	1	xyl1	0.294775532796681
lachancea kluyveri	1	xyl1	0.346050768300095
lachancea lanzarotensis	1	xyl1	0.243190527481334
lachancea meyersii	1	xyl1	0.34390229713963
lachancea mirantina	1	xyl1	0.324044604156988
lachancea nothofagi	1	xyl1	0.296920121280967
lachancea quebecensis	1	xyl1	0.288544334001772
lachancea thermotolerans	1	xyl1	0.297834330765688
lachancea waltii	1	xyl1	0.257700915270141
lipomyces japonicus	1	xyl1	0.423470975554982
lipomyces oligophaga	1	xyl1	0.277838035051972
lipomyces suomiensis	1	xyl1	0.33953875556716
metschnikowia aberdeeniae	1	xyl1	0.482234987298648
metschnikowia arizonensis	1	xyl1	0.433897342612891
metschnikowia bicuspidata	1	xyl1	0.313251253389913
metschnikowia borealis	1	xyl1	0.224682175688239
metschnikowia bowlesiae	1	xyl1	0.112535495903457
metschnikowia bowlesiae	2	xyl1	0.110725044003803
metschnikowia cerradonensis	1	xyl1	0.329128291012021
metschnikowia continentalis	1	xyl1	0.250478542910469
metschnikowia dekortum	1	xyl1	0.166265625003486
metschnikowia dekortum	2	xyl1	0.169412214515662
metschnikowia drakensbergensis	1	xyl1	0.505143478902112
metschnikowia hamakuensis	1	xyl1	0.169060290321337
metschnikowia hawaiiensis	1	xyl1	0.155760846444893
metschnikowia hibisci	1	xyl1	0.589518690192879
metschnikowia ipomoeae	1	xyl1	0.283502507439106
metschnikowia kamakouana	1	xyl1	0.341970057025888
metschnikowia kipukae	1	xyl1	0.475805069725903
metschnikowia lockheadii	1	xyl1	0.32528437592915
metschnikowia matae maris	1	xyl1	0.275404495178415
metschnikowia matae	1	xyl1	0.324041845923813
metschnikowia mauinuiana	1	xyl1	0.189809721287296
metschnikowia proteae	1	xyl1	0.456070759650487
metschnikowia santaceciliae	1	xyl1	0.362410607126264
metschnikowia shivogae	1	xyl1	0.347420675165122
metschnikowia similis	1	xyl1	0.135654449067697
metschnikowia similis	2	xyl1	0.136317340044299
meyerozyma caribbica	1	xyl1	0.495523211702419
meyerozyma caribbica	2	xyl1	0.577748832948442
meyerozyma guilliermondii	1	xyl1	0.478788361724461
meyerozyma guilliermondii	2	xyl1	0.584174155153738
millerozyma acaciae	1	xyl1	0.334787441749883
nadsonia fulvescens var elongata	1	xyl1	0.357607365254117
nakaseomyces bacillisporus	1	xyl1	0.332969275058617
nakaseomyces bracarensis	1	xyl1	0.38822030452681
nakaseomyces castellii	1	xyl1	0.336668296152882
nakaseomyces delphensis	1	xyl1	0.400815494140356
nakaseomyces nivariensis	1	xyl1	0.440644596537109
nakazawaea holstii	1	xyl1	0.656798509187744
nakazawaea peltata	1	xyl1	0.552925496505664
naumovozyma castellii	1	xyl1	0.442044893435397
naumovozyma dairenensis	1	xyl1	0.580348759610153
ogataea glucozyma	1	xyl1	0.348926567190645
ogataea henricii	1	xyl1	0.366049446836358
ogataea henricii	2	xyl1	0.443288939938122
ogataea kodamae	1	xyl1	0.298291971940542
ogataea methanolica	1	xyl1	0.517923139078609
ogataea methanolica	2	xyl1	0.534915613487164
ogataea methylivora	1	xyl1	0.492114577388171
ogataea minuta	1	xyl1	0.404483400005074
ogataea minuta	2	xyl1	0.37663945418295
ogataea naganishii	1	xyl1	0.376468493599303
ogataea naganishii	2	xyl1	0.448154049856226
ogataea nitratoaversa	1	xyl1	0.618108655252341
ogataea nonfermentans	1	xyl1	0.384765373397652
ogataea nonfermentans	2	xyl1	0.431820649963458
ogataea parapolymorpha	1	xyl1	0.463280170437996
ogataea philodendra	1	xyl1	0.414336594715386
ogataea pilisensis	1	xyl1	0.491554831319542
ogataea pilisensis	2	xyl1	0.483265015012516
ogataea pini	1	xyl1	0.403387957179145
ogataea pini	2	xyl1	0.363445817844706
ogataea polymorpha	1	xyl1	0.436540983840579
ogataea populiabae	1	xyl1	0.331295387497392
ogataea populiabae	2	xyl1	0.330294039373348
ogataea ramenticola	1	xyl1	0.684477583298413
ogataea trehaloabstinens	1	xyl1	0.334717300565768
ogataea trehaloabstinens	2	xyl1	0.347589908473652
ogataea trehaloabstinens	3	xyl1	0.328984223439947
ogataea trehaloabstinens	4	xyl1	0.317981741609401
ogataea trehalophila	1	xyl1	0.439485964285997
ogataea zsoltii	1	xyl1	0.487116812699876
ogataea zsoltii	2	xyl1	0.384243018765526
pachysolen tannophilus	1	xyl1	0.541644203564879
pachysolen tannophilus	2	xyl1	0.542545749957933
peterozyma toletana	1	xyl1	0.531326348543527
peterozyma xylosa	1	xyl1	0.530764437641755
phaffomyces antillensis	1	xyl1	0.511394378947761
phaffomyces antillensis	2	xyl1	0.576047525333561
phaffomyces opuntiae	1	xyl1	0.530885857574612
phaffomyces opuntiae	2	xyl1	0.606322012226186
phaffomyces thermotolerans	1	xyl1	0.60436604410634
phaffomyces thermotolerans	2	xyl1	0.55458569997811
pichia exigua	1	xyl1	0.402315270603538
pichia heedii	1	xyl1	0.567721020092204
pichia heedii	2	xyl1	0.588589026457778
pichia kudriavzevii	1	xyl1	0.340588156187456
pichia membranifaciens	1	xyl1	0.409953431584544
pichia membranifaciens	2	xyl1	0.470262171642352
pichia nakasei	1	xyl1	0.532593946513654
pichia nakasei	2	xyl1	0.477582683278299
pichia norvegensis	1	xyl1	0.329444571734257
pichia occidentalis	1	xyl1	0.34312855958492
pichia terricola	1	xyl1	0.532980417086763
priceomyces carsonii	1	xyl1	0.476448707945931
priceomyces carsonii	2	xyl1	0.432043523169452
priceomyces carsonii	3	xyl1	0.473087805845536
priceomyces castillae	1	xyl1	0.509281974991576
priceomyces haplophilus	1	xyl1	0.486196250133982
priceomyces medius	1	xyl1	0.55142949225201
saccharomyces arboricola	1	xyl1	0.346550302013657
saccharomyces cerevisiae	1	xyl1	0.307573479018912
saccharomyces eubayanus	1	xyl1	0.320058230651627
saccharomyces kudriavzevii	1	xyl1	0.291393107543081
saccharomyces mikatae	1	xyl1	0.320818496669221
saccharomyces paradoxus	1	xyl1	0.295790342824394
saccharomyces uvarum	1	xyl1	0.324154980669821
saccharomycopsis capsularis	1	xyl1	0.514673142044819
saccharomycopsis malanga	1	xyl1	0.527569015890448
saccharomycopsis malanga	2	xyl1	0.53595590896336
saturnispora dispora	1	xyl1	0.290721762516546
saturnispora hagleri	1	xyl1	0.337021199615495
saturnispora mendoncae	1	xyl1	0.40879850938841
saturnispora saitoi	1	xyl1	0.325125816389245
saturnispora serradocipensis	1	xyl1	0.299341931453782
saturnispora silvae	1	xyl1	0.425672820452556
saturnispora zaruensis	1	xyl1	0.247339121363431
scheffersomyces lignosus	1	xyl1	0.494605807555406
scheffersomyces stipitis	1	xyl1	0.529283308999728
spathaspora arborariae	1	xyl1	0.444808136823249
spathaspora girioi	1	xyl1	0.380089897896786
spathaspora gorwiae	1	xyl1	0.538083379036917
spathaspora hagerdaliae	1	xyl1	0.5823463536911
spathaspora passalidarum	1	xyl1	0.485366016045273
spathaspora passalidarum	2	xyl1	0.551161438556358
sporopachydermia lactativora	1	xyl1	0.46597496487145
sporopachydermia lactativora	2	xyl1	0.451767773480145
sporopachydermia lactativora	3	xyl1	0.441306599245768
sporopachydermia lactativora	4	xyl1	0.453897037584773
sporopachydermia quercuum	1	xyl1	0.498541006304028
sporopachydermia quercuum	2	xyl1	0.511068710727738
sporopachydermia quercuum	3	xyl1	0.550046124946849
starmera amethionina	1	xyl1	0.466387707616218
starmera quercuum	1	xyl1	0.382789440843598
sugiyamaella lignohabitans	1	xyl1	0.517455878352206
tetrapisispora blattae	1	xyl1	0.424631918765815
tetrapisispora blattae	2	xyl1	0.440555848461593
tetrapisispora fleetii	1	xyl1	0.306443607216716
tetrapisispora iriomotensis	1	xyl1	0.546154877263349
tetrapisispora namnaonensis	1	xyl1	0.322754944100792
tetrapisispora phaffii	1	xyl1	0.479809026968477
tortispora caseinolytica	1	xyl1	0.460146444778663
tortispora ganteri	1	xyl1	0.495427065063921
tortispora starmeri	1	xyl1	0.374715838291596
torulaspora delbrueckii	1	xyl1	0.437862154216466
torulaspora franciscae	1	xyl1	0.379959947452067
torulaspora maleeae	1	xyl1	0.420123108551098
torulaspora microellipsoides	1	xyl1	0.439587157927368
torulaspora pretoriensis	1	xyl1	0.335211243049082
torulaspora pretoriensis	2	xyl1	0.335211243049082
wickerhamia fluorescens	1	xyl1	0.274864785295771
wickerhamomyces alni	1	xyl1	0.60328474222859
wickerhamomyces anomalus	1	xyl1	0.447349017978684
wickerhamomyces bovis	1	xyl1	0.647617624163503
wickerhamomyces canadensis	1	xyl1	0.537716930472248
wickerhamomyces ciferrii	1	xyl1	0.598489807662822
wickerhamomyces hampshirensis	1	xyl1	0.529291368459116
yamadazyma nakazawae	1	xyl1	0.554991928896635
yamadazyma philogaea	1	xyl1	0.601508279284439
yamadazyma scolyti	1	xyl1	0.524732189605896
yueomyces sinensis	1	xyl1	0.537147030902126
yueomyces sinensis	2	xyl1	0.532455987893612
yueomyces sinensis	3	xyl1	0.539869026608937
zygoascus meyerae	1	xyl1	0.380078296575398
zygoascus ofunaensis	1	xyl1	0.527033693307197
zygosaccharomyces bailii	1	xyl1	0.176392641649382
zygosaccharomyces bisporus	1	xyl1	0.365250049961425
zygosaccharomyces kombuchaensis	1	xyl1	0.411561683181395
zygosaccharomyces rouxii	1	xyl1	0.488746972594918
zygotorulaspora florentina	1	xyl1	0.324232559182189
zygotorulaspora mrakii	1	xyl1	0.313671659283576
lipomyces arxii	1	xyl1	0.324554791109374
lipomyces doorenjongii	1	xyl1	0.542868080401281
lipomyces starkeyi	1	xyl1	0.337640829853237
lipomyces kononenkoae	1	xyl1	0.323767503623418
lipomyces kononenkoae	2	xyl1	0.314282896904487
lipomyces lipofer	1	xyl1	0.507523532851502
lipomyces mesembrius	1	xyl1	0.356146375970982
saccharomycopsis malanga	3	xyl1	0.528123430773604
saccharomycopsis malanga	4	xyl1	0.536536612933312
blastobotrys raffinofermentans	3	xyl2	0.367544948398095
blastobotrys americana	1	xyl2	0.33591884877111
blastobotrys peoriensis	1	xyl2	0.483543419380102
blastobotrys serpentis	1	xyl2	0.477122359273637
blastobotrys serpentis	3	xyl2	0.459518264745523
arxula adeninivorans	2	xyl2	0.243978989059248
blastobotrys raffinofermentans	1	xyl2	0.270294961237759
saccharomyces paradoxus	3	xyl2	0.270075899564483
blastobotrys muscicola	1	xyl2	0.209482843636562
tortispora starmeri	1	xyl2	0.312410161082719
tortispora caseinolytica	1	xyl2	0.407602683570095
tortispora ganteri	1	xyl2	0.433578085670886
saccharomycopsis capsularis	2	xyl2	0.286985494318674
saccharomycopsis malanga	2	xyl2	0.464248421468495
kazachstania turicensis	1	xyl2	0.525008580767423
kazachstania rosinii	1	xyl2	0.287120300840766
kazachstania spencerorum	1	xyl2	0.395365650799974
saccharomyces eubayanus	1	xyl2	0.290799888617438
saccharomyces uvarum	1	xyl2	0.318721843367979
saccharomyces cerevisiae	3	xyl2	0.260016206981755
saccharomyces paradoxus	1	xyl2	0.265171190020403
eremothecium sinecaudum	1	xyl2	0.272153352594003
ashbya aceri	1	xyl2	0.306674437393461
eremothecium gossypii	1	xyl2	0.286268795313214
vanderwaltozyma polyspora	1	xyl2	0.390914948894255
diddensiella caesifluorescens	1	xyl2	0.438074018156607
arxula adeninivorans	1	xyl2	0.25917068692635
blastobotrys raffinofermentans	2	xyl2	0.267330968336317
candida hispaniensis	1	xyl2	0.326030115484961
yarrowia keelungensis	1	xyl2	0.406223019437618
yarrowia bubula	1	xyl2	0.285897092019075
yarrowia bubula	2	xyl2	0.285897092019075
yarrowia deformans	1	xyl2	0.328782482741078
yarrowia lipolytica	1	xyl2	0.405612852791705
yarrowia divulgata	1	xyl2	0.26393112156471
blastobotrys serpentis	2	xyl2	0.489937317365019
trigonopsis vinaria	2	xyl2	0.411148822628762
trigonopsis variabilis	2	xyl2	0.480456090804395
nadsonia fulvescens var elongata	1	xyl2	0.325102358180068
blastobotrys nivea	1	xyl2	0.355236037547282
blastobotrys proliferans	1	xyl2	0.418418195474476
alloascoidea hylecoeti	1	xyl2	0.518605858853487
alloascoidea hylecoeti	2	xyl2	0.540999770532764
sporopachydermia lactativora	1	xyl2	0.470620554810066
sporopachydermia quercuum	1	xyl2	0.556473016031342
lipomyces oligophaga	1	xyl2	0.302596869492113
lipomyces japonicus	1	xyl2	0.492312116633986
lipomyces suomiensis	1	xyl2	0.304147578513939
lipomyces lipofer	1	xyl2	0.488964926632729
lipomyces doorenjongii	1	xyl2	0.554678360641127
lipomyces kononenkoae	1	xyl2	0.306609769445158
lipomyces starkeyi	2	xyl2	0.309010961241639
lipomyces arxii	3	xyl2	0.33173874388493
lipomyces mesembrius	1	xyl2	0.321048980950714
lipomyces arxii	1	xyl2	0.312457620042782
lipomyces starkeyi	3	xyl2	0.311240434899759
blastobotrys mokoenaii	1	xyl2	0.428885283901679
candida incommunis	1	xyl2	0.359694156075035
deakozyma indianensis	1	xyl2	0.402510411537963
sugiyamaella lignohabitans	1	xyl2	0.474694773367569
sugiyamaella lignohabitans	2	xyl2	0.475404204966176
magnusiomyces tetrasperma	1	xyl2	0.3267423271137
saprochaete clavata	1	xyl2	0.393323170494761
geotrichum candidum	1	xyl2	0.311723143163677
dipodascus albidus	1	xyl2	0.505795037830827
dipodascus geniculatus	1	xyl2	0.452907807297125
saccharomycopsis capsularis	1	xyl2	0.388484572773932
saccharomycopsis malanga	1	xyl2	0.499048102743743
nakazawaea holstii	1	xyl2	0.578979663721362
nakazawaea peltata	1	xyl2	0.486006527947066
peterozyma toletana	1	xyl2	0.501328193656451
peterozyma xylosa	1	xyl2	0.492733832081831
pachysolen tannophilus	1	xyl2	0.534741863044484
brettanomyces anomalus	1	xyl2	0.409857352764203
dekkera bruxellensis	1	xyl2	0.310699060330584
dekkera bruxellensis	2	xyl2	0.310699060330584
brettanomyces custersianus	1	xyl2	0.383404313692784
komagataella pastoris	1	xyl2	0.288830028152012
komagataella populi	1	xyl2	0.29127094180525
komagataella pseudopastoris	1	xyl2	0.298557272532082
pichia terricola	1	xyl2	0.440134212146516
citeromyces siamensis	1	xyl2	0.34870746101325
citeromyces hawaiiensis	1	xyl2	0.410779955973501
citeromyces matritensis	1	xyl2	0.359572376184093
kuraishia capsulata	1	xyl2	0.490684620474529
kuraishia molischiana	1	xyl2	0.422981720661885
kuraishia ogatae	1	xyl2	0.458967614980355
candida boidinii	1	xyl2	0.674472498292816
ogataea methylivora	1	xyl2	0.437548478930403
candida succiphila	2	xyl2	0.39247476766284
ogataea naganishii	1	xyl2	0.417877264994231
ogataea ramenticola	1	xyl2	0.676342893824828
saturnispora silvae	1	xyl2	0.376442916150729
saturnispora mendoncae	1	xyl2	0.409546924612876
saturnispora saitoi	1	xyl2	0.31883610752463
saturnispora zaruensis	1	xyl2	0.218993207335702
saturnispora dispora	1	xyl2	0.260983963176898
saturnispora hagleri	1	xyl2	0.323907752510321
saturnispora serradocipensis	1	xyl2	0.259167365335597
pichia membranifaciens	1	xyl2	0.426500272167728
kregervanrija delftensis	1	xyl2	0.488378500736262
kregervanrija fluxuum	1	xyl2	0.511937582387313
pichia norvegensis	1	xyl2	0.302384374868872
pichia occidentalis	1	xyl2	0.277900180585865
candida sorboxylosa	1	xyl2	0.375094226204764
pichia kudriavzevii	1	xyl2	0.308539604520279
pichia exigua	1	xyl2	0.354778675750813
pichia heedii	1	xyl2	0.527933947419723
pichia nakasei	1	xyl2	0.473001529819067
ambrosiozyma monospora	1	xyl2	0.563939935318615
ambrosiozyma oregonensis	1	xyl2	0.482970992746048
ambrosiozyma ambrosiae	1	xyl2	0.536674928703864
ambrosiozyma philentoma	1	xyl2	0.554242856365977
ambrosiozyma maleeae	1	xyl2	0.321086800785638
ambrosiozyma kashinagacola	1	xyl2	0.580123410383131
ambrosiozyma pseudovanderkliftii	1	xyl2	0.549824381574153
ambrosiozyma vanderkliftii	1	xyl2	0.484364685324021
ogataea nitratoaversa	1	xyl2	0.591134923515649
ogataea pilisensis	1	xyl2	0.46568091470283
candida arabinofermentans	1	xyl2	0.668252806106012
ogataea methanolica	1	xyl2	0.513523211572656
ogataea trehalophila	1	xyl2	0.423029343566834
ogataea philodendra	1	xyl2	0.361342962096447
ogataea kodamae	2	xyl2	0.249420597769378
ogataea parapolymorpha	1	xyl2	0.41802529044441
ogataea polymorpha	1	xyl2	0.411355080689717
ogataea populiabae	1	xyl2	0.36875945340924
ogataea trehaloabstinens	1	xyl2	0.344278831004107
ogataea minuta	1	xyl2	0.377694685975825
ogataea nonfermentans	2	xyl2	0.380522062129952
ogataea glucozyma	1	xyl2	0.292125283799723
ogataea zsoltii	3	xyl2	0.402880613978506
ogataea henricii	1	xyl2	0.404254828342117
ogataea pini	1	xyl2	0.360118538326105
ascoidea asiatica	1	xyl2	0.67757058506126
ascoidea rubescens	1	xyl2	0.343861739949719
candida schatavii	2	xyl2	0.383246532845516
debaryomyces nepalensis	1	xyl2	0.217596935837766
candida schatavii	1	xyl2	0.443722908519743
candida athensensis	2	xyl2	0.506266085333219
candida carpophila	2	xyl2	0.518345832965952
meyerozyma caribbica	2	xyl2	0.514669500071033
meyerozyma guilliermondii	1	xyl2	0.501672364347102
lodderomyces elongisporus	1	xyl2	0.406288670376546
candida orthopsilosis	1	xyl2	0.305136304036362
candida parapsilosis	1	xyl2	0.45498671110149
candida fragi	1	xyl2	0.339247105427403
kurtzmaniella cleridarum	1	xyl2	0.253298389774547
priceomyces medius	1	xyl2	0.483060140996949
priceomyces carsonii	2	xyl2	0.409632313173666
priceomyces castillae	1	xyl2	0.413634447314267
priceomyces haplophilus	1	xyl2	0.424312216857679
wickerhamia fluorescens	1	xyl2	0.23311511278719
candida gorgasii	2	xyl2	0.530579403108391
candida tammaniensis	1	xyl2	0.527501502568792
yamadazyma scolyti	1	xyl2	0.505288663187876
candida tenuis	2	xyl2	0.532868171808255
yamadazyma nakazawae	2	xyl2	0.497747639646267
yamadazyma philogaea	2	xyl2	0.531097208500029
candida corydali	1	xyl2	0.344116898541284
candida tropicalis	1	xyl2	0.574927626589677
candida albicans	1	xyl2	0.574189953892033
candida dubliniensis	1	xyl2	0.48488475529469
candida ascalaphidarum	2	xyl2	0.374783675860423
millerozyma acaciae	1	xyl2	0.345541554331517
debaryomyces maramus	1	xyl2	0.461513544374431
hyphopichia heimii	2	xyl2	0.502943597130097
debaryomyces nepalensis	2	xyl2	0.257033399136703
debaryomyces hansenii	1	xyl2	0.416211027606521
debaryomyces prosopidis	1	xyl2	0.448008709155759
debaryomyces fabryi	1	xyl2	0.477731289076241
debaryomyces subglobosus	1	xyl2	0.505791377876157
hyphopichia burtonii	1	xyl2	0.419028992008105
candida wancherniae	1	xyl2	0.49885944912199
