taxa	opulente.2018.growth.binary	xylitol.growth.binary
Candida mucifera	1	1
Candida multigemmis	1	1
Candida musae	1	1
Candida mycetangii	1	1
Candida naeodendra	1	1
Candida nakhonratchasimensis	1	1
Candida nanaspora	1	1
Candida natalensis	v	1
Candida neerlandica	1	1
Candida nemodendra	1	1
Candida neomexicana	1	NA
Candida nitratophila	1	1
Candida nivariensis	0	0
Candida norvegica	v	v
Candida novakii	1	1
Candida odintsovae	1	1
Candida oleophila	1	v
Candida ontarioensis	1	1
Candida orba	0	NA
Candida oregonensis	1	v
Candida orthopsilosis	1	1
Candida ortonii	0	0
Candida oslonensis	v	0
Candida ovalis	1	1
Candida pallodes	1	1
Candida palmioleophila	1	1
Candida paludigena	1	0
Candida panamensis	1	0
Candida panamericana	1	0
Candida parapsilosis	1	v
Candida pararugosa	v	v
Candida pattaniensis	1	1
Candida peltata	1	1
Candida peoriensis	1	1
Candida petrohuensis	1	0
Candida picachoensis	0	1
Candida piceae	1	1
Candida picinguabensis	1	1
Candida pignaliae	1	1
Candida pimensis	0	1
Candida pini	1	1
Candida pinicola	1	NA
Candida plutei	1	0
Candida polysorbophila	1	NA
Candida pomicola	1	1
Candida ponderosae	1	0
Candida populi	1	1
Candida powellii	0	v
Candida prunicola	1	1
Candida pseudoglaebosa	1	1
Candida pseudointermedia	1	1
Candida pseudolambica	v	0
Candida pseudorhagii	1	NA
Candida psychrophila	1	1
Candida pyralidae	1	1
Candida qinlingensis	1	NA
Candida quercitrusa	v	1
Candida quercuum	1	1
Candida railenensis	1	1
Candida rancensis	1	1
Candida restingae	1	1
Candida rhagii	1	1
Candida riodocensis	0	0
Candida rugopelliculosa	0	0
Candida rugosa	v	v
Candida sagamina	1	0
Candida saitoana	1	0
Candida sake	v	0
Candida salmanticensis	1	1
Candida santamariae	v	v
Candida santjacobensis	1	0
Candida sanyiensis	1	NA
Candida saopaulonensis	1	1
Candida savonica	1	1
Candida schatavii	1	1
Candida scorzettiae	1	0
Candida sequanensis	1	1
Candida sergipensis	0	1
Candida shehatae	1	v
Candida silvae	0	0
Candida silvanorum	1	1
Candida silvatica	0	0
Candida silvicultrix	1	1
Candida sinolaborantium	1	1
Candida sithepensis	1	NA
Candida smithsonii	1	1
Candida sojae	1	0
Candida solani	1	1
Candida sonorensis	1	1
Candida sophiae-reginae	0	1
Candida sorbophila	1	1
Candida sorbosivorans	0	1
Candida sorboxylosa	1	1
Candida spandovensis	v	1
Candida spencermartinsiae	1	NA
Candida stellata	0	0
Candida stellimalicola	1	0
Candida stri	0	0
Candida subhashii	1	0
Candida succiphila	1	1
Candida suecica	1	0
Candida suzukii	1	1
Candida takamatsizuyensis	1	1
Candida taliae	1	1
Candida tammaniensis	1	1
Candida tanzawaensis	0	0
Candida tartarivorans	1	1
Candida taylori	1	NA
Candida temnochilae	1	1
Candida tenuis	1	v
Candida tepae	1	0
Candida terraborum	1	0
Candida tetrigidarum	1	0
Candida thaimueangensis	1	NA
Candida tibetensis	1	NA
Candida tilneyi	0	v
Candida tolerans	1	1
Candida torresii	1	1
Candida transvaalensis	1	NA
Candida tritomae	1	1
Candida tropicalis	1	v
Candida trypodendroni	1	0
Candida tsuchiyae	0	1
Candida tumicola	1	1
Candida ubatubensis	1	1
Candida ulmi	1	0
Candida vaccinii	0	1
Candida vadensis	1	0
Candida valdiviana	1	0
Candida vanderwaltii	1	1
Candida vartiovaarae	1	1
Candida versatilis	0	v
Candida viswanathii	1	v
Candida wickerhamii	1	0
Candida wounanorum	1	0
Candida wyomingensis	1	0
Candida xylopsoci	1	0
Candida yuanshanicus	1	1
Candida yuchorum	1	0
Candida zemplinina	0	0
Candida zeylanoides	0	0
Cephaloascus albidus	1	NA
Cephaloascus fragrans	1	NA
Citeromyces matritensis	0	NA
Citeromyces siamensis	0	NA
Clavispora lusitaniae	1	1
Clavispora opuntiae	1	v
Cyberlindnera americana	1	NA
Cyberlindnera amylophila	1	NA
Cyberlindnera bimundalis	1	NA
Cyberlindnera euphorbiae	1	NA
Cyberlindnera euphorbiiphila	1	NA
Cyberlindnera fabianii	1	NA
Cyberlindnera jadinii	1	NA
Cyberlindnera japonica	1	NA
Cyberlindnera lachancei	1	NA
Cyberlindnera maclurae	0	NA
Cyberlindnera meyerae	1	NA
Cyberlindnera mississippiensis	1	NA
Cyberlindnera misumaiensis	1	NA
Cyberlindnera mrakii	1	NA
Cyberlindnera petersonii	1	NA
Cyberlindnera rhodanensis	1	NA
Cyberlindnera sargentensis	1	NA
Cyberlindnera saturnus	1	NA
Cyberlindnera suaveolens	1	NA
Cyberlindnera subsufficiens	1	NA
Cyberlindnera veronae	1	NA
Cyniclomyces guttulatus	0	NA
Debaryomyces coudertii	1	NA
Debaryomyces fabryi	1	NA
Debaryomyces hansenii	1	NA
Debaryomyces maramus	1	NA
Debaryomyces mycophilus	1	NA
Debaryomyces nepalensis	1	NA
Debaryomyces prosopidis	1	NA
Debaryomyces robertsiae	1	NA
Debaryomyces singareniensis	0	NA
Debaryomyces subglobosus	1	NA
Debaryomyces udenii	1	NA
Dekkera anomala	0	0
Dekkera bruxellensis	0	0
Dipodascopsis anomala	1	NA
Dipodascopsis tothii	1	NA
Dipodascopsis uninucleata var. uninucleata	1	NA
Dipodascopsis uninucleata var. wickerhamii	1	NA
Dipodascus aggregatus	1	0
Dipodascus albidus	1	0
Dipodascus armillariae	1	0
Dipodascus australiensis	1	0
Dipodascus geniculatus	1	NA
Dipodascus macrosporus	1	0
Eremothecium ashbyi	0	NA
Eremothecium coryli	0	NA
Eremothecium cymbalariae	0	NA
Eremothecium gossypii	0	NA
Eremothecium sinecaudum	0	NA
Galactomyces candidus	1	0
Galactomyces citri-aurantii	1	0
Galactomyces geotrichum	1	0
Galactomyces pseudocandidus	1	0
Galactomyces reessii	1	0
Geotrichum carabidarum	1	0
Geotrichum cucujoidarum	v	0
Geotrichum europaeum	1	0
Geotrichum fermentans	1	v
Geotrichum histeridarum	1	v
Geotrichum klebahnii	1	0
Geotrichum restrictum	1	NA
Hanseniaspora clermontiae	0	NA
Hanseniaspora guilliermondii	0	NA
Hanseniaspora lachancei	0	NA
Hanseniaspora meyeri	0	NA
Hanseniaspora occidentalis var. citrica	0	NA
Hanseniaspora occidentalis var. occidentalis	0	NA
Hanseniaspora opuntiae	0	NA
Hanseniaspora osmophila	0	NA
Hanseniaspora pseudoguilliermondii	0	NA
Hanseniaspora uvarum	0	NA
Hanseniaspora valbyensis	0	NA
hanseniaspora vinae	0	NA
Hyphopichia burtonii	1	NA
Hyphopichia heimii	1	NA
Kazachstania aerobica	0	NA
Kazachstania africana	0	NA
Kazachstania aquatica	0	NA
Kazachstania barnettii	0	NA
Kazachstania bovina	0	NA
Kazachstania bulderi	1	NA
Kazachstania exigua	0	NA
Kazachstania gamospora	0	NA
Kazachstania hellenica	1	NA
Kazachstania heterogenica	0	NA
Kazachstania humantica	0	NA
Kazachstania jiainica	0	NA
Kazachstania kunashirensis	0	NA
Kazachstania lodderae	0	NA
Kazachstania martiniae	0	NA
Kazachstania naganishii	0	NA
Kazachstania piceae	0	0
Kazachstania pintolopesii	0	NA
Kazachstania rosinii	0	NA
Kazachstania servazzii	0	NA
Kazachstania siamensis	0	NA
Kazachstania sinensis	0	NA
Kazachstania slooffiae	0	0
Kazachstania solicola	0	NA
Kazachstania spencerorum	0	NA
Kazachstania telluris	0	NA
Kazachstania transvaalensis	0	NA
Kazachstania turicensis	0	0
Kazachstania unispora	0	NA
Kazachstania viticola	0	NA
Kazachstania yakushimaenisis	0	NA
Kazachstania zonata	0	NA
Kloeckera lindneri	0	NA
Kluyveromyces aestuarii	0	0
Kluyveromyces dobzhanskii	0	0
Kluyveromyces lactis var. drosophilarum	v	v
kluyveromyces lactis	v	v
Kluyveromyces marxianus	v	v
Kluyveromyces nonfermentans	0	0
Kluyveromyces wickerhamii	1	1
Kodamaea anthophila	1	1
Kodamaea kakaduensis	0	v
Kodamaea laetipori	1	0
Kodamaea nitidulidarum	0	0
Kodamaea ohmeri	v	0
Komagataella pastoris	v	NA
Komagataella phaffii	0	NA
Komagataella pseudopastoris	1	NA
Kregervanrija delftensis	0	NA
Kregervanrija fluxuum	0	NA
Kregervanrija pseudodelftensis	0	NA
Kuraishia capsulata	1	1
Kuraishia molischiana	1	1
Kurtzmaniella cleridarum	1	1
Lachancea cidri	v	1
Lachancea fermentati	v	v
Lachancea kluyveri	v	v
Lachancea meyersii	0	1
Lachancea thermotolerans	0	1
Lachancea waltii	1	1
Lipomyces arxii	1	NA
Lipomyces doorenjongii	1	NA
Lipomyces japonicus	1	NA
Lipomyces kockii	v	NA
Lipomyces kononenkoae	v	NA
Lipomyces lipofer	v	NA
Lipomyces mesembrius	v	NA
Lipomyces oligophaga	v	NA
Lipomyces orientalis	1	NA
Lipomyces smithiae	1	NA
Lipomyces spencer-martinsiae	0	NA
Lipomyces starkeyi	1	NA
Lipomyces suomiensis	1	NA
Lipomyces tetrasporus	1	NA
Lipomyces yamadae	0	NA
Lipomyces yarrowii	0	NA
Lodderomyces elongisporus	1	NA
Magnusiomyces capitatus	0	0
Magnusiomyces ingens	0	0
Magnusiomyces magnusii	0	0
Magnusiomyces ovetensis	0	0
Magnusiomyces spicifer	1	0
Magnusiomyces starmeri	0	0
Magnusiomyces tetrasperma	0	0
Metschnikowia aberdeeniae	1	1
Metschnikowia agaves	1	0
Metschnikowia andauensis	1	1
Metschnikowia arizonensis	0	0
Metschnikowia australis	v	v
Metschnikowia bicuspidata var. bicuspidata	v	1
Metschnikowia bicuspidata var. californica	v	1
Metschnikowia bicuspidata var. chathamia	v	1
Metschnikowia borealis	1	1
Metschnikowia cerradonensis	1	1
Metschnikowia chrysoperlae	0	1
Metschnikowia colocasiae	1	1
Metschnikowia continentalis	1	1
Metschnikowia corniflorae	1	1
metschnikowia dekortum	1	1
Metschnikowia drosophilae	1	1
Metschnikowia fructicola	1	1
Metschnikowia gruessii	v	NA
Metschnikowia hamakuensis	1	1
Metschnikowia hawaiiensis	1	1
Metschnikowia hibisci	1	1
Metschnikowia kamakouana	1	1
Metschnikowia koreensis	1	1
Metschnikowia krissii	0	0
Metschnikowia kunwiensis	1	1
Metschnikowia lachancei	1	1
metschnikowia lockheadii	1	v
Metschnikowia lunata	1	1
Metschnikowia mauinuiana	1	1
Metschnikowia noctiluminum	0	1
Metschnikowia orientalis	1	1
Metschnikowia pulcherrima	v	1
Metschnikowia reukaufii	v	1
Metschnikowia santaceciliae	1	1
Metschnikowia shanxiensis	1	NA
Metschnikowia similis	1	1
Metschnikowia sinensis	1	NA
Metschnikowia vanudenii	v	1
Metschnikowia viticola	1	1
Metschnikowia zizyphicola	1	NA
Metschnikowia zobellii	1	0
Meyerozyma caribbica	1	NA
Meyerozyma guilliermondii	1	NA
Millerozyma acaciae	1	NA
Millerozyma farinosa	v	NA
Myxozyma geophila	1	NA
Myxozyma kluyveri	1	NA
Myxozyma lipomycoides	1	NA
Myxozyma melibiosi	1	NA
Myxozyma monticola	1	NA
Myxozyma mucilagina	1	NA
Myxozyma neglecta	1	NA
Myxozyma neotropica	1	NA
Myxozyma nipponensis	1	NA
Myxozyma sirexii	1	NA
Myxozyma udenii	1	NA
Myxozyma vanderwaltii	1	NA
Nadsonia commutata	0	0
Nadsonia fulvescens var. elongata	0	0
Nadsonia fulvescens var. fulvescens	0	0
Nakaseomyces bacillisporus	0	0
Nakaseomyces delphensis	0	0
Nakazawaea holstii	1	NA
Naumovozyma castellii	0	NA
Naumovozyma dairenensis	0	NA
Ogataea allantospora	1	NA
Ogataea chonburiensis	1	NA
Ogataea corticis	1	NA
Ogataea dorogensis	1	NA
Ogataea falcaomoraisii	1	NA
Ogataea ganodermae	1	NA
Ogataea glucozyma	1	NA
Ogataea henricii	1	NA
Ogataea kodamae	1	NA
Ogataea methanolica	1	NA
Ogataea methylivora	1	NA
Ogataea minuta	1	NA
Ogataea naganishii	1	NA
Ogataea nakhonphanomensis	1	NA
Ogataea neopini	1	NA
Ogataea nitratoaversa	1	NA
Ogataea nonfermentans	1	NA
Ogataea paradorogensis	1	NA
ogataea philodendra	1	NA
Ogataea pilisensis	1	NA
Ogataea pini	v	NA
Ogataea polymorpha	v	NA
ogataea populiabae	v	NA
Ogataea ramenticola	1	NA
Ogataea salicorniae	1	NA
Ogataea siamensis	1	NA
Ogataea thermomethanolica	1	NA
Ogataea trehaloabstinens	1	NA
Ogataea trehalophila	1	NA
Ogataea wickerhamii	1	NA
Ogataea zsoltii	1	NA
Pachysolen tannophilus	1	NA
Peterozyma toletana	1	NA
Peterozyma xylosa	1	NA
Phaffomyces antillensis	0	NA
Phaffomyces opuntiae	0	NA
Phaffomyces thermotolerans	0	NA
Pichia barkeri	v	NA
Pichia cactophila	1	NA
Pichia cecembensis	0	NA
Pichia cephalocereana	v	NA
Pichia deserticola	0	NA
Pichia eremophila	v	NA
Pichia exigua	0	NA
Pichia fermentans	1	NA
Pichia heedii	1	NA
Pichia kluyveri	v	NA
Pichia kudriavzevii	0	NA
Pichia manshurica	0	NA
Pichia membranifaciens	v	NA
Pichia nakasei	0	NA
Pichia norvegensis	0	NA
Pichia occidentalis	0	NA
Pichia pseudocactophila	0	NA
Pichia scutulata	0	NA
Pichia sporocuriosa	1	NA
Pichia terricola	0	NA
Priceomyces carsonii	1	NA
Priceomyces castillae	1	NA
Priceomyces haplophilus	1	NA
Priceomyces medius	1	NA
Priceomyces melissophilus	0	NA
Saccharomyces arboricola	0	NA
Saccharomyces eubayanus	0	0
Saccharomyces uvarum	0	0
Saccharomyces cariocanus	0	NA
Saccharomyces cerevisiae	0	0
Saccharomyces kudriavzevii	0	0
Saccharomyces mikatae	0	0
Saccharomyces paradoxus	0	0
Saccharomyces pastorianus	0	0
Saccharomycodes ludwigii	0	NA
Saccharomycodes sinensis	0	0
Saccharomycopsis capsularis	0	NA
Saccharomycopsis crataegensis	1	NA
Saccharomycopsis fermentans	0	NA
Saccharomycopsis fibuligera	0	NA
Saccharomycopsis javanensis	v	NA
Saccharomycopsis malanga	v	NA
Saccharomycopsis microspora	1	NA
Saccharomycopsis schoenii	v	NA
Saccharomycopsis selenospora	1	NA
Saccharomycopsis synnaedendra	v	NA
Saccharomycopsis vini	0	NA
Saprochaete chiloensis	0	0
Saprochaete clavata	0	0
Saprochaete fungicola	1	1
Saprochaete gigas	0	0
Saprochaete ingens	0	0
Saprochaete japonica	0	0
Saprochaete psychrophila	1	0
Saprochaete quercus	0	0
Saprochaete saccharophila	0	0
Saprochaete suaveolens	0	0
Saturnispora ahearnii	0	NA
Saturnispora besseyi	0	NA
Saturnispora dispora	0	NA
Saturnispora hagleri	0	NA
Saturnispora mendoncae	0	NA
Saturnispora saitoi	0	NA
Saturnispora zaruensis	0	NA
Scheffersomyces segobiensis	1	NA
Scheffersomyces spartinae	0	NA
Scheffersomyces stipitis	1	NA
Schizoblastosporion starkeyi-henricii	0	0
Schwanniomyces capriottii	1	NA
Schwanniomyces etchellsii	1	NA
Schwanniomyces occidentalis var. occidentalis	1	NA
Schwanniomyces occidentalis var. persoonii	0	NA
Schwanniomyces polymorphus var. africanus	1	NA
Schwanniomyces polymorphus var. polymorphus	1	NA
Schwanniomyces pseudopolymorphus	1	NA
Schwanniomyces vanrijiae var. vanrijiae	1	NA
Schwanniomyces vanrijiae var. yarrowii	1	NA
Schwanniomyces yamadae	1	NA
Spathaspora passalidarum	1	1
Sporopachydermia cereana	1	1
Sporopachydermia lactativora	1	1
Sporopachydermia quercuum	1	1
Starmera amethionina	1	NA
Starmera caribaea	v	NA
Starmera dryadoides	v	NA
Starmera pachycereana	0	NA
Starmera quercuum	0	NA
Starmerella bombicola	0	0
Starmerella meliponinorum	0	v
Sugiyamaella americana	1	NA
Sugiyamaella chiloensis	1	NA
Sugiyamaella japonica	1	NA
Sugiyamaella smithiae	1	NA
Tetrapisispora arboricola	0	0
Tetrapisispora blattae	0	0
Tetrapisispora fleetii	0	0
Tetrapisispora iriomotensis	0	0
Tetrapisispora namnaonensis	0	NA
Tetrapisispora nanseiensis	0	0
Tetrapisispora phaffii	0	0
Torulaspora delbrueckii	v	NA
Torulaspora franciscae	0	NA
Torulaspora globosa	0	NA
Torulaspora maleeae	0	NA
Torulaspora microellipsoides	0	NA
Torulaspora pretoriensis	0	NA
Trichomonascus apis	1	NA
Trichomonascus ciferrii	1	NA
Trichomonascus farinosus	v	NA
Trichomonascus petasosporus	1	NA
Trigonopsis californica	1	NA
Trigonopsis cantarellii	v	NA
Trigonopsis variabilis	v	NA
Trigonopsis vinaria	v	NA
Vanderwaltozyma polyspora	0	0
Vanderwaltozyma yarrowii	1	v
Wickerhamia fluorescens	0	NA
Wickerhamiella australiensis	v	1
Wickerhamiella cacticola	0	v
Wickerhamiella domercqiae	v	v
Wickerhamiella lipophila	0	0
Wickerhamiella occidentalis	0	1
Wickerhamomyces alni	1	NA
Wickerhamomyces anomalus	v	NA
Wickerhamomyces bisporus	1	NA
Wickerhamomyces bovis	1	NA
Wickerhamomyces canadensis	1	NA
Wickerhamomyces chambardii	0	NA
Wickerhamomyces ciferrii	1	NA
Wickerhamomyces hampshirensis	1	NA
Wickerhamomyces lynferdii	0	NA
Wickerhamomyces mucosus	1	NA
Wickerhamomyces onychis	1	NA
Wickerhamomyces pijperi	1	NA
Wickerhamomyces rabaulensis	1	NA
Wickerhamomyces silvicola	1	NA
Wickerhamomyces strasburgensis	1	NA
Wickerhamomyces subpelliculosus	v	NA
Wickerhamomyces sydowiorum	v	NA
Yamadazyma akitaensis	1	NA
Yamadazyma mexicana	1	NA
Yamadazyma nakazawae	1	NA
Yamadazyma philogaea	1	NA
Yamadazyma scolyti	1	NA
Yamadazyma triangularis	1	NA
Yarrowia lipolytica	0	NA
Zygoascus hellenicus	1	1
Zygoascus meyerae	1	1
Zygoascus ofunaensis	1	1
Zygoascus tannicolus	1	0
Zygosaccharomyces bailii	0	NA
Zygosaccharomyces bisporus	0	NA
Zygosaccharomyces kombuchaensis	0	NA
Zygosaccharomyces lentus	0	NA
Zygosaccharomyces mellis	0	NA
Zygosaccharomyces rouxii	0	NA
Zygotorulaspora florentina	0	NA
Zygotorulaspora mrakii	0	NA
