all_taxa	Growth.Rate	growth.binary
debaryomyces prosopidis	0.370437394	1
debaryomyces subglobosus	0.240921448	1
dekkera bruxellensis	NA	0
diddensiella caesifluorescens	0.325621165	1
dipodascus albidus	1.644636283	1
dipodascus geniculatus	NA	1
eremothecium coryli	NA	0
eremothecium cymbalariae	NA	0
eremothecium gossypii	NA	0
eremothecium sinecaudum	NA	0
geotrichum candidum	0	0
hanseniaspora clermontiae	0	0
hanseniaspora osmophila	0	0
hanseniaspora pseudoguilliermondii	0	0
hanseniaspora singularis	0	0
hanseniaspora uvarum	NA	0
hanseniaspora valbyensis	0	0
hanseniaspora vinae	0	0
hyphopichia burtonii	0	0
hyphopichia heimii	0.445830977	1
kazachstania aerobia	0	0
kazachstania africana	NA	0
kazachstania bromeliacearum	0	0
kazachstania intestinalis	0	0
kazachstania kunashirensis	0	0
kazachstania martiniae	0	0
kazachstania naganishii	0	0
kazachstania rosinii	NA	0
kazachstania siamensis	0	0
kazachstania solicola	0	0
kazachstania spencerorum	0	0
kazachstania taianensis	NA	NA
kazachstania transvaalensis	0	0
kazachstania turicensis	NA	0
kazachstania unispora	0	0
kazachstania viticola	NA	0
kazachstania yakushimaensis	NA	NA
kloeckera hatyaiensis	0	0
kluyveromyces aestuarii	0	0
kluyveromyces dobzhanskii	0	0
kluyveromyces lactis	0	0
kluyveromyces marxianus	0	0
kodamaea laetipori	0.364211383	1
kodamaea ohmeri	0	0
komagataella pastoris	0.166347026	1
komagataella populi	0	0
komagataella pseudopastoris	0	0
kregervanrija delftensis	0	0
kregervanrija fluxuum	0	0
kuraishia capsulata	0.217562796	1
kuraishia molischiana	0.25353123	1
kuraishia ogatae	0.250078689	1
kurtzmaniella cleridarum	0.176953225	1
lachancea cidri	NA	v
lachancea dasiensis	0	0
lachancea fantastica	0	0
lachancea fermentati	0	0
lachancea kluyveri	0	0
lachancea lanzarotensis	0	0
lachancea meyersii	0	0
lachancea mirantina	0	0
lachancea nothofagi	0	0
lachancea quebecensis	NA	NA
lachancea thermotolerans	0	0
lachancea waltii	0	0
lipomyces arxii	1.144972613	1
lipomyces doorenjongii	NA	1
lipomyces japonicus	1.202911662	1
lipomyces kononenkoae	NA	v
lipomyces lipofer	NA	v
lipomyces mesembrius	NA	v
lipomyces oligophaga	NA	v
lipomyces starkeyi	1.046347267	1
lipomyces suomiensis	NA	1
lodderomyces elongisporus	0	0
magnusiomyces tetrasperma	0	0
martiniozyma abiesophila	0	0
metschnikowia aberdeeniae	0.519784198	1
metschnikowia arizonensis	NA	0
metschnikowia bicuspidata	0	0
metschnikowia borealis	0.701329033	1
metschnikowia bowlesiae	0	0
metschnikowia cerradonensis	0.732856565	1
metschnikowia continentalis	0.394420359	1
metschnikowia dekortum	0	0
metschnikowia drakensbergensis	0	0
metschnikowia hamakuensis	0.324586223	1
metschnikowia hawaiiensis	0.441732364	1
metschnikowia hibisci	0.431284169	1
metschnikowia ipomoeae	NA	NA
metschnikowia kamakouana	NA	1
metschnikowia kipukae	0	0
metschnikowia lockheadii	0.710995601	1
metschnikowia matae	1.077972967	1
metschnikowia matae maris	0.392960435	1
metschnikowia mauinuiana	NA	1
metschnikowia proteae	0	0
metschnikowia santaceciliae	NA	1
metschnikowia shivogae	0.282336899	1
metschnikowia similis	0.227538067	1
meyerozyma caribbica	0.369100472	1
meyerozyma guilliermondii	NA	1
middelhovenomyces tepae	1.300924713	1
millerozyma acaciae	0.070625666	1
nadsonia fulvescens	NA	NA
nadsonia fulvescens var elongata	NA	NA
nakaseomyces bacillisporus	0	0
nakaseomyces bracarensis	NA	NA
nakaseomyces castellii	0	0
nakaseomyces delphensis	0	0
nakaseomyces nivariensis	NA	NA
nakazawaea holstii	0	0
nakazawaea peltata	0.457573847	1
naumovozyma castellii	0	0
naumovozyma dairenensis	NA	0
ogataea glucozyma	0	0
ogataea henricii	NA	1
ogataea kodamae	0	0
ogataea methanolica	0.112284546	1
ogataea methylivora	0.49543014	1
ogataea minuta	0	0
ogataea naganishii	0.406096817	1
ogataea nitratoaversa	0.528883368	1
ogataea nonfermentans	0	0
ogataea parapolymorpha	0	0
ogataea philodendra	0	0
ogataea pilisensis	0	0
ogataea pini	0	0
ogataea polymorpha	0	0
ogataea populiabae	0	0
ogataea ramenticola	0.420175779	1
ogataea trehaloabstinens	2.146021726	1
ogataea trehalophila	0.055391381	1
ogataea zsoltii	0.338411329	1
pachysolen tannophilus	0.313437257	1
peterozyma toletana	0.195277046	1
peterozyma xylosa	NA	1
phaffomyces antillensis	0	0
phaffomyces opuntiae	0	0
phaffomyces thermotolerans	0	0
pichia exigua	0	0
pichia heedii	0.522594544	1
pichia kudriavzevii	0	0
pichia membranifaciens	0	0
pichia nakasei	0	0
pichia norvegensis	0	0
pichia occidentalis	0	0
pichia terricola	0	0
priceomyces carsonii	0.306334006	1
priceomyces castillae	0.339677301	1
priceomyces haplophilus	0.234133802	1
priceomyces medius	0.95994681	1
saccharomyces arboricola	NA	0
saccharomyces cerevisiae	NA	0
saccharomyces eubayanus	NA	0
saccharomyces kudriavzevii	NA	0
saccharomyces mikatae	NA	0
saccharomyces paradoxus	NA	0
saccharomyces uvarum	NA	0
saccharomycopsis capsularis	NA	0
saccharomycopsis malanga	NA	v
saprochaete clavata	NA	0
saturnispora dispora	0	0
saturnispora hagleri	0	0
saturnispora mendoncae	0	0
saturnispora saitoi	0	0
saturnispora serradocipensis	0	0
saturnispora silvae	0	0
saturnispora zaruensis	0	0
scheffersomyces lignosus	0.481634779	1
scheffersomyces stipitis	0.712437802	1
spathaspora arborariae	0.461539829	1
spathaspora girioi	NA	NA
spathaspora gorwiae	NA	NA
spathaspora hagerdaliae	NA	NA
spathaspora passalidarum	0.58107421	1
spencermartinsiella europaea	0	0
sporopachydermia lactativora	0	0
sporopachydermia quercuum	0.925854645	1
starmera amethionina	NA	1
starmera quercuum	0	0
starmerella apicola	NA	NA
starmerella bombicola	0	0
sugiyamaella lignohabitans	0.697917242	1
tetrapisispora blattae	NA	0
tetrapisispora fleetii	0	0
tetrapisispora iriomotensis	0	0
tetrapisispora namnaonensis	0	0
tetrapisispora phaffii	0	0
tortispora caseinolytica	1.51032555	1
tortispora ganteri	NA	NA
tortispora starmeri	NA	NA
torulaspora delbrueckii	0	0
torulaspora franciscae	0	0
torulaspora maleeae	0	0
torulaspora microellipsoides	0	0
torulaspora pretoriensis	0	0
trigonopsis variabilis	0	0
trigonopsis vinaria	0	0
vanderwaltozyma polyspora	0	0
wickerhamia fluorescens	0	0
wickerhamiella cacticola	0	0
wickerhamiella domercqiae	NA	v
wickerhamiella infanticola	0	0
wickerhamiella versatilis	0	0
wickerhamomyces alni	0.598666945	1
wickerhamomyces anomalus	0	0
wickerhamomyces bovis	0.204896106	1
wickerhamomyces canadensis	0.265695786	1
wickerhamomyces ciferrii	0	0
wickerhamomyces hampshirensis	0.216538714	1
wickerhamomyces sp. yb 2243	0	0
yamadazyma nakazawae	0.330661156	1
yamadazyma philogaea	0.620596812	1
yamadazyma scolyti	1.032050583	1
yarrowia bubula	0	0
yarrowia deformans	0	0
yarrowia divulgata	0	0
yarrowia keelungensis	0	0
yarrowia lipolytica	0	0
yueomyces sinensis	NA	NA
zygoascus meyerae	0	0
zygoascus ofunaensis	0.498346357	1
zygosaccharomyces bailii	NA	0
zygosaccharomyces bisporus	0	0
zygosaccharomyces kombuchaensis	0	0
zygosaccharomyces rouxii	0	0
zygotorulaspora florentina	0	0
zygotorulaspora mrakii	0	0
