taxon	copy.no	gene	stAI	estAI
candida hawaiiana	1	xyl1	0.446666525616597	0.934274278491679
candida heveicola	1	xyl1	0.4547488645518	0.952419192933146
candida homilentoma	1	xyl1	0.462119391313429	0.965444826269569
candida incommunis	1	xyl1	0.42697622300083	0.959349593495935
candida intermedia	1	xyl1	0.252624372948957	0.577542132171937
candida intermedia	2	xyl1	0.352811663370201	0.946032948305245
candida intermedia	3	xyl1	0.290184472272746	0.798144290854005
candida kruisii	1	xyl1	0.563944756067552	0.934498620055198
candida montana	1	xyl1	0.589131236730584	0.913518352730528
candida montana	2	xyl1	0.571650144957613	0.881647269471799
candida mycetangii	1	xyl1	0.481357871252831	0.910270467836257
candida orba	1	xyl1	0.559619953184581	0.927864484202512
candida orba	2	xyl1	0.529270538723714	0.839741149600305
candida oregonensis	1	xyl1	0.506252299305811	0.98581985220691
candida orthopsilosis	1	xyl1	0.303433113790328	0.838859416445623
candida parapsilosis	1	xyl1	0.462832712926923	0.894021195760848
candida ponderosae	1	xyl1	0.522121815293624	0.880979779713957
candida pyralidae	1	xyl1	0.527228621948323	0.940586109995986
candida restingae	1	xyl1	0.381457070493295	0.913197869402249
candida rhagii	1	xyl1	0.59400294218258	0.971232615736331
candida salmanticensis	1	xyl1	0.465436243564875	0.974846181686573
candida schatavii	1	xyl1	0.460091904304607	0.945874835557226
candida sorboxylosa	1	xyl1	0.343696400778027	0.81803084223013
candida stellimalicola	1	xyl1	0.351454204441016	0.874012558233745
candida succiphila	1	xyl1	0.439845233252848	0.962458012250543
candida tammaniensis	1	xyl1	0.592713948538675	0.994029275808937
candida tanzawaensis	1	xyl1	0.479088546002679	0.976808176100629
candida tenuis	1	xyl1	0.555578101200763	0.960626587637595
candida tropicalis	1	xyl1	0.611010720552399	0.966862416107383
candida tropicalis	2	xyl1	0.611479520208701	0.967281879194631
candida vartiovaarae	1	xyl1	0.537551879472145	0.968891402714932
candida wancherniae	1	xyl1	0.558086688762692	0.972167433705895
cephaloascus albidus	1	xyl1	0.577807572546483	0.967778497409326
cephaloascus fragrans	1	xyl1	0.614042582520549	0.978106185002737
citeromyces hawaiiensis	1	xyl1	0.428047661167898	0.94474034620506
citeromyces matritensis	1	xyl1	0.379948858124316	0.904346471412993
citeromyces siamensis	1	xyl1	0.357760774104946	0.925082872928177
clavispora lusitaniae	1	xyl1	0.421043265915899	0.927659574468085
cyberlindnera americana	1	xyl1	0.434978834276368	0.968265548057633
cyberlindnera fabianii	1	xyl1	0.503293243537331	0.918047550432277
cyberlindnera jadinii	1	xyl1	0.54735441006399	0.913345521023766
cyberlindnera jadinii	2	xyl1	0.516742880896573	0.823583180987203
cyberlindnera maclurae	1	xyl1	0.518599569576685	0.861004601226994
cyberlindnera misumaiensis	1	xyl1	0.53459865123581	0.921658109906826
cyberlindnera misumaiensis	2	xyl1	0.527807643882564	0.908918045255752
cyberlindnera mrakii	1	xyl1	0.556005213321376	0.956204379562044
cyberlindnera petersonii	1	xyl1	0.542635153708502	0.967712177121771
cyberlindnera saturnus	1	xyl1	0.5250417466849	0.954309623430962
cyberlindnera suaveolens	1	xyl1	0.566017675262141	0.94801666364789
cyberlindnera xylosilytica	1	xyl1	0.582910927832162	0.981894600711284
danielozyma ontarioensis	1	xyl1	0.505204915280196	0.964755924650598
deakozyma indianensis	1	xyl1	0.471926120489472	0.974339333588663
debaryomyces fabryi	1	xyl1	0.541209585694381	0.95085102314018
debaryomyces hansenii	1	xyl1	0.465510473116182	0.939278937381404
debaryomyces maramus	1	xyl1	0.505923874152497	0.920940994986502
debaryomyces nepalensis	1	xyl1	0.324851930934369	0.954302103250478
debaryomyces prosopidis	1	xyl1	0.500579812784993	0.957507082152975
debaryomyces subglobosus	1	xyl1	0.573948277355508	0.956605966679582
dekkera bruxellensis	1	xyl1	0.299828331025473	0.753350165080598
diddensiella caesifluorescens	1	xyl1	0.497312916657049	0.948314222146158
dipodascus albidus	1	xyl1	0.49859309560372	0.940878378378378
dipodascus geniculatus	1	xyl1	0.485593933702814	0.962240402769037
eremothecium coryli	1	xyl1	0.283404525983286	0.923566878980892
eremothecium cymbalariae	1	xyl1	0.388411697613342	0.93687374749499
eremothecium gossypii	1	xyl1	0.335129988607209	0.838863690618286
geotrichum candidum	1	xyl1	0.328009974624159	0.966516516516516
hanseniaspora clermontiae	1	xyl1	0.301253015052237	0.905717151454363
hanseniaspora osmophila	1	xyl1	0.398467781013358	0.830284328851664
hanseniaspora pseudoguilliermondii	1	xyl1	0.305421353855184	0.837625705175374
hanseniaspora singularis	1	xyl1	0.190451598112496	0.86626065773447
hanseniaspora uvarum	1	xyl1	0.341698386270844	0.917643429981493
hanseniaspora valbyensis	1	xyl1	0.267720422670703	0.860438556418456
hanseniaspora vinae	1	xyl1	0.47400161386426	0.892867132867133
hyphopichia burtonii	1	xyl1	0.439225336341194	0.88918259455063
hyphopichia heimii	1	xyl1	0.600738027963541	0.976269315673289
kazachstania aerobia	1	xyl1	0.523541210371961	0.946988448844885
kazachstania africana	1	xyl1	0.426975365547608	0.776497221650545
kazachstania bromeliacearum	1	xyl1	0.496217302416049	0.897859327217125
kazachstania intestinalis	1	xyl1	0.333539773267925	0.947762791693428
kazachstania kunashirensis	1	xyl1	0.552315876114633	0.792168060371201
kazachstania martiniae	1	xyl1	0.46516944003647	0.905285910787974
kazachstania naganishii	1	xyl1	0.376382361374067	0.89189760947747
kazachstania rosinii	1	xyl1	0.378320968219205	0.855759531974985
kazachstania siamensis	1	xyl1	0.578412839614611	0.945145932519147
kazachstania solicola	1	xyl1	0.460601086197089	0.934091347080362
kazachstania spencerorum	1	xyl1	0.462569853347474	0.724376990818812
kazachstania taianensis	1	xyl1	0.386391335091524	0.934351775392238
kazachstania transvaalensis	1	xyl1	0.33438869223019	0.882461823229986
kazachstania turicensis	1	xyl1	0.629685873135736	0.892823148676946
kazachstania unispora	1	xyl1	0.670186196903407	0.938376456646257
kazachstania viticola	1	xyl1	0.44410793051361	0.903630745461568
kazachstania yakushimaensis	1	xyl1	0.51739088928378	0.694697597348799
kazachstania yakushimaensis	2	xyl1	0.514743938468748	0.678334714167357
kloeckera hatyaiensis	1	xyl1	0.200967721043577	0.666666666666667
kluyveromyces aestuarii	1	xyl1	0.323010536437448	0.872890642121411
kluyveromyces dobzhanskii	1	xyl1	0.3733297908936	0.923756192117166
kluyveromyces lactis	1	xyl1	0.343814670540645	0.938685208596713
kluyveromyces marxianus	1	xyl1	0.43588490119265	0.982519049753474
kodamaea laetipori	1	xyl1	0.47383254811709	0.870275066548359
kodamaea ohmeri	1	xyl1	0.512334170688013	0.968228752978554
kodamaea ohmeri	2	xyl1	0.434476335890788	0.899722001588562
komagataella pastoris	1	xyl1	0.296239509295013	0.576267529665588
komagataella populi	1	xyl1	0.314749872877601	0.802728453876137
komagataella pseudopastoris	1	xyl1	0.317156611048061	0.826523624743209
kregervanrija delftensis	1	xyl1	0.50149404303987	0.941676322904596
kregervanrija fluxuum	1	xyl1	0.517881516886265	0.92037558685446
kuraishia capsulata	1	xyl1	0.555927748560071	0.942659693686963
kuraishia molischiana	1	xyl1	0.439429413403776	0.928759398496241
kuraishia ogatae	1	xyl1	0.524157954113011	0.963885192929101
kurtzmaniella cleridarum	1	xyl1	0.303789746826758	0.859193706981318
lachancea cidri	1	xyl1	0.318084822700915	0.88184628975265
lachancea dasiensis	1	xyl1	0.280676728293446	0.803816466552316
lachancea fantastica	1	xyl1	0.247625609541626	0.824050632911392
lachancea fermentati	1	xyl1	0.294775532796681	0.894130202774813
lachancea kluyveri	1	xyl1	0.346050768300095	0.893015744852644
lachancea lanzarotensis	1	xyl1	0.243190527481334	0.866758241758242
lachancea meyersii	1	xyl1	0.34390229713963	0.931750741839763
lachancea mirantina	1	xyl1	0.324044604156988	0.926006057983557
lachancea nothofagi	1	xyl1	0.296920121280967	0.814291649356045
lachancea quebecensis	1	xyl1	0.288544334001772	0.861148497083894
lachancea thermotolerans	1	xyl1	0.297834330765688	0.919930750919714
lachancea waltii	1	xyl1	0.257700915270141	0.814806629834254
lipomyces japonicus	1	xyl1	0.423470975554982	0.960226298645637
lipomyces oligophaga	1	xyl1	0.277838035051972	0.671373555840822
lipomyces suomiensis	1	xyl1	0.33953875556716	0.978902229845626
metschnikowia aberdeeniae	1	xyl1	0.482234987298648	0.940174672489083
metschnikowia arizonensis	1	xyl1	0.433897342612891	0.960332817337461
metschnikowia bicuspidata	1	xyl1	0.313251253389913	0.861265718408576
metschnikowia borealis	1	xyl1	0.224682175688239	0.977041710480196
metschnikowia bowlesiae	1	xyl1	0.112535495903457	0.961619650738822
metschnikowia bowlesiae	2	xyl1	0.110725044003803	0.954903089618116
metschnikowia cerradonensis	1	xyl1	0.329128291012021	0.967413793103448
metschnikowia continentalis	1	xyl1	0.250478542910469	0.965594744121715
metschnikowia dekortum	1	xyl1	0.166265625003486	0.931490384615385
metschnikowia dekortum	2	xyl1	0.169412214515662	0.951522435897436
metschnikowia drakensbergensis	1	xyl1	0.505143478902112	0.922026061370324
metschnikowia hamakuensis	1	xyl1	0.169060290321337	0.965299114404482
metschnikowia hawaiiensis	1	xyl1	0.155760846444893	0.964220518437386
metschnikowia hibisci	1	xyl1	0.589518690192879	0.966031483015741
metschnikowia ipomoeae	1	xyl1	0.283502507439106	0.968120190545988
metschnikowia kamakouana	1	xyl1	0.341970057025888	0.956780637725701
metschnikowia kipukae	1	xyl1	0.475805069725903	0.952865448504983
metschnikowia lockheadii	1	xyl1	0.32528437592915	0.967792753369508
metschnikowia matae maris	1	xyl1	0.275404495178415	0.965723524656427
metschnikowia matae	1	xyl1	0.324041845923813	0.964598842018197
metschnikowia mauinuiana	1	xyl1	0.189809721287296	0.964566210045662
metschnikowia proteae	1	xyl1	0.456070759650487	0.919523711763498
metschnikowia santaceciliae	1	xyl1	0.362410607126264	0.97204641350211
metschnikowia shivogae	1	xyl1	0.347420675165122	0.980409041980624
metschnikowia similis	1	xyl1	0.135654449067697	0.965982404692082
metschnikowia similis	2	xyl1	0.136317340044299	0.967741935483871
meyerozyma caribbica	1	xyl1	0.495523211702419	0.307772236076475
meyerozyma caribbica	2	xyl1	0.577748832948442	0.953449709060682
meyerozyma guilliermondii	1	xyl1	0.478788361724461	0.715260955736622
meyerozyma guilliermondii	2	xyl1	0.584174155153738	0.971371944505615
millerozyma acaciae	1	xyl1	0.334787441749883	0.833012202954399
nadsonia fulvescens var elongata	1	xyl1	0.357607365254117	0.883128778164499
nakaseomyces bacillisporus	1	xyl1	0.332969275058617	0.943839791031781
nakaseomyces bracarensis	1	xyl1	0.38822030452681	0.9292159614999
nakaseomyces castellii	1	xyl1	0.336668296152882	0.945491251682369
nakaseomyces delphensis	1	xyl1	0.400815494140356	0.88847039129525
nakaseomyces nivariensis	1	xyl1	0.440644596537109	0.964912280701754
nakazawaea holstii	1	xyl1	0.656798509187744	0.973572938689218
nakazawaea peltata	1	xyl1	0.552925496505664	0.992589777693331
naumovozyma castellii	1	xyl1	0.442044893435397	0.915691331085102
naumovozyma dairenensis	1	xyl1	0.580348759610153	0.93686401480111
ogataea glucozyma	1	xyl1	0.348926567190645	0.95684362585771
ogataea henricii	1	xyl1	0.366049446836358	0.641899655304481
ogataea henricii	2	xyl1	0.443288939938122	0.952125622366909
ogataea kodamae	1	xyl1	0.298291971940542	0.898439319822968
ogataea methanolica	1	xyl1	0.517923139078609	0.944050862851953
ogataea methanolica	2	xyl1	0.534915613487164	0.965485921889192
ogataea methylivora	1	xyl1	0.492114577388171	0.950383008356546
ogataea minuta	1	xyl1	0.404483400005074	0.94452380952381
ogataea minuta	2	xyl1	0.37663945418295	0.81452380952381
ogataea naganishii	1	xyl1	0.376468493599303	0.631343573789617
ogataea naganishii	2	xyl1	0.448154049856226	0.970639704452654
ogataea nitratoaversa	1	xyl1	0.618108655252341	0.978350130645763
ogataea nonfermentans	1	xyl1	0.384765373397652	0.801087941976428
ogataea nonfermentans	2	xyl1	0.431820649963458	0.96663644605621
ogataea parapolymorpha	1	xyl1	0.463280170437996	0.92703648175912
ogataea philodendra	1	xyl1	0.414336594715386	0.957432583017606
ogataea pilisensis	1	xyl1	0.491554831319542	0.971006253553155
ogataea pilisensis	2	xyl1	0.483265015012516	0.963426189122608
ogataea pini	1	xyl1	0.403387957179145	0.938969873663751
ogataea pini	2	xyl1	0.363445817844706	0.847619047619048
ogataea polymorpha	1	xyl1	0.436540983840579	0.939631901840491
ogataea populiabae	1	xyl1	0.331295387497392	0.651477119134968
ogataea populiabae	2	xyl1	0.330294039373348	0.641822745703804
ogataea ramenticola	1	xyl1	0.684477583298413	0.919581073499158
ogataea trehaloabstinens	1	xyl1	0.334717300565768	0.68828023104155
ogataea trehaloabstinens	2	xyl1	0.347589908473652	0.828582075647475
ogataea trehaloabstinens	3	xyl1	0.328984223439947	0.591764486677846
ogataea trehaloabstinens	4	xyl1	0.317981741609401	0.395192845164897
ogataea trehalophila	1	xyl1	0.439485964285997	0.952354048964218
ogataea zsoltii	1	xyl1	0.487116812699876	0.97348340328119
ogataea zsoltii	2	xyl1	0.384243018765526	0.40080122090805
pachysolen tannophilus	1	xyl1	0.541644203564879	0.952550637659415
pachysolen tannophilus	2	xyl1	0.542545749957933	0.95423855963991
peterozyma toletana	1	xyl1	0.531326348543527	0.938970337538357
peterozyma xylosa	1	xyl1	0.530764437641755	0.922844444444444
phaffomyces antillensis	1	xyl1	0.511394378947761	0.743361188486537
phaffomyces antillensis	2	xyl1	0.576047525333561	0.946518105849582
phaffomyces opuntiae	1	xyl1	0.530885857574612	0.711577028258888
phaffomyces opuntiae	2	xyl1	0.606322012226186	0.95278030993619
phaffomyces thermotolerans	1	xyl1	0.60436604410634	0.939470121833301
phaffomyces thermotolerans	2	xyl1	0.55458569997811	0.786888416167086
pichia exigua	1	xyl1	0.402315270603538	0.935785953177258
pichia heedii	1	xyl1	0.567721020092204	0.965635005336179
pichia heedii	2	xyl1	0.588589026457778	0.988046958377802
pichia kudriavzevii	1	xyl1	0.340588156187456	0.929150661545028
pichia membranifaciens	1	xyl1	0.409953431584544	0.622831441422146
pichia membranifaciens	2	xyl1	0.470262171642352	0.957378453630328
pichia nakasei	1	xyl1	0.532593946513654	0.934945164506481
pichia nakasei	2	xyl1	0.477582683278299	0.764207377866401
pichia norvegensis	1	xyl1	0.329444571734257	0.917967890917088
pichia occidentalis	1	xyl1	0.34312855958492	0.92204628501827
pichia terricola	1	xyl1	0.532980417086763	0.927137238666943
priceomyces carsonii	1	xyl1	0.476448707945931	0.980549841032355
priceomyces carsonii	2	xyl1	0.432043523169452	0.846081915092575
priceomyces carsonii	3	xyl1	0.473087805845536	0.976996446605573
priceomyces castillae	1	xyl1	0.509281974991576	0.965070885555784
priceomyces haplophilus	1	xyl1	0.486196250133982	0.970092670598147
priceomyces medius	1	xyl1	0.55142949225201	0.954801124949779
saccharomyces arboricola	1	xyl1	0.346550302013657	0.8
saccharomyces cerevisiae	1	xyl1	0.307573479018912	0.800360793746242
saccharomyces eubayanus	1	xyl1	0.320058230651627	0.801143583227446
saccharomyces kudriavzevii	1	xyl1	0.291393107543081	0.848212327264751
saccharomyces mikatae	1	xyl1	0.320818496669221	0.790499124343257
saccharomyces paradoxus	1	xyl1	0.295790342824394	0.786183513456241
saccharomyces uvarum	1	xyl1	0.324154980669821	0.826077723508176
saccharomycopsis capsularis	1	xyl1	0.514673142044819	0.95906432748538
saccharomycopsis malanga	1	xyl1	0.527569015890448	0.942783059636992
saccharomycopsis malanga	2	xyl1	0.53595590896336	0.955920484010372
saturnispora dispora	1	xyl1	0.290721762516546	0.812275985663082
saturnispora hagleri	1	xyl1	0.337021199615495	0.880376631714102
saturnispora mendoncae	1	xyl1	0.40879850938841	0.69967074317968
saturnispora saitoi	1	xyl1	0.325125816389245	0.792750722704025
saturnispora serradocipensis	1	xyl1	0.299341931453782	0.884095860566449
saturnispora silvae	1	xyl1	0.425672820452556	0.850622406639004
saturnispora zaruensis	1	xyl1	0.247339121363431	0.831424248973417
scheffersomyces lignosus	1	xyl1	0.494605807555406	0.982192737430168
scheffersomyces stipitis	1	xyl1	0.529283308999728	0.992031166991323
spathaspora arborariae	1	xyl1	0.444808136823249	0.997138184791496
spathaspora girioi	1	xyl1	0.380089897896786	0.994629003381739
spathaspora gorwiae	1	xyl1	0.538083379036917	0.991231647634584
spathaspora hagerdaliae	1	xyl1	0.5823463536911	0.983653846153846
spathaspora passalidarum	1	xyl1	0.485366016045273	0.9572282405678
spathaspora passalidarum	2	xyl1	0.551161438556358	0.990474411654838
sporopachydermia lactativora	1	xyl1	0.46597496487145	0.932454695222405
sporopachydermia lactativora	2	xyl1	0.451767773480145	0.880468606992495
sporopachydermia lactativora	3	xyl1	0.441306599245768	0.813655500640674
sporopachydermia lactativora	4	xyl1	0.453897037584773	0.892000732198426
sporopachydermia quercuum	1	xyl1	0.498541006304028	0.664273881833241
sporopachydermia quercuum	2	xyl1	0.511068710727738	0.799374194735873
sporopachydermia quercuum	3	xyl1	0.550046124946849	0.950303699613473
starmera amethionina	1	xyl1	0.466387707616218	0.868932992729416
starmera quercuum	1	xyl1	0.382789440843598	0.966233766233766
sugiyamaella lignohabitans	1	xyl1	0.517455878352206	0.992094134951278
tetrapisispora blattae	1	xyl1	0.424631918765815	0.894154818325434
tetrapisispora blattae	2	xyl1	0.440555848461593	0.916666666666667
tetrapisispora fleetii	1	xyl1	0.306443607216716	0.851889683350358
tetrapisispora iriomotensis	1	xyl1	0.546154877263349	0.911246081504702
tetrapisispora namnaonensis	1	xyl1	0.322754944100792	0.844786256492209
tetrapisispora phaffii	1	xyl1	0.479809026968477	0.904945717732207
tortispora caseinolytica	1	xyl1	0.460146444778663	0.967711962833914
tortispora ganteri	1	xyl1	0.495427065063921	0.852452025586354
tortispora starmeri	1	xyl1	0.374715838291596	0.866796200345423
torulaspora delbrueckii	1	xyl1	0.437862154216466	0.91847075080608
torulaspora franciscae	1	xyl1	0.379959947452067	0.941547518923465
torulaspora maleeae	1	xyl1	0.420123108551098	0.974022821073076
torulaspora microellipsoides	1	xyl1	0.439587157927368	0.906656006396162
torulaspora pretoriensis	1	xyl1	0.335211243049082	0.936991869918699
torulaspora pretoriensis	2	xyl1	0.335211243049082	0.936991869918699
wickerhamia fluorescens	1	xyl1	0.274864785295771	0.874291497975708
wickerhamomyces alni	1	xyl1	0.60328474222859	0.976301615798923
wickerhamomyces anomalus	1	xyl1	0.447349017978684	0.892984542211653
wickerhamomyces bovis	1	xyl1	0.647617624163503	0.968578735842163
wickerhamomyces canadensis	1	xyl1	0.537716930472248	0.941752760954756
wickerhamomyces ciferrii	1	xyl1	0.598489807662822	0.921067157313707
wickerhamomyces hampshirensis	1	xyl1	0.529291368459116	0.935339423249149
yamadazyma nakazawae	1	xyl1	0.554991928896635	0.969065911847958
yamadazyma philogaea	1	xyl1	0.601508279284439	0.978445460483344
yamadazyma scolyti	1	xyl1	0.524732189605896	0.952195322117357
yueomyces sinensis	1	xyl1	0.537147030902126	0.910456730769231
yueomyces sinensis	2	xyl1	0.532455987893612	0.902844551282051
yueomyces sinensis	3	xyl1	0.539869026608937	0.915064102564103
zygoascus meyerae	1	xyl1	0.380078296575398	0.954098979977333
zygoascus ofunaensis	1	xyl1	0.527033693307197	0.98437794089968
zygosaccharomyces bailii	1	xyl1	0.176392641649382	0.933608058608059
zygosaccharomyces bisporus	1	xyl1	0.365250049961425	0.925582447410088
zygosaccharomyces kombuchaensis	1	xyl1	0.411561683181395	0.949408983451537
zygosaccharomyces rouxii	1	xyl1	0.488746972594918	0.967444993264481
zygotorulaspora florentina	1	xyl1	0.324232559182189	0.902036441586281
zygotorulaspora mrakii	1	xyl1	0.313671659283576	0.944890673806337
lipomyces arxii	1	xyl1	0.324554791109374	0.909542195256481
lipomyces doorenjongii	1	xyl1	0.542868080401281	0.963777490297542
lipomyces starkeyi	1	xyl1	0.337640829853237	0.971148957803762
lipomyces kononenkoae	1	xyl1	0.323767503623418	0.944227712758272
lipomyces kononenkoae	2	xyl1	0.314282896904487	0.90449357029331
lipomyces lipofer	1	xyl1	0.507523532851502	0.974565493853328
lipomyces mesembrius	1	xyl1	0.356146375970982	0.967732161793668
saccharomycopsis malanga	3	xyl1	0.528123430773604	0.94485738980121
saccharomycopsis malanga	4	xyl1	0.536536612933312	0.956439066551426
blastobotrys raffinofermentans	3	xyl2	0.367544948398095	0.941482226693494
blastobotrys americana	1	xyl2	0.33591884877111	0.728872593950504
blastobotrys peoriensis	1	xyl2	0.483543419380102	0.862277460530736
blastobotrys serpentis	1	xyl2	0.477122359273637	0.858662369057212
blastobotrys serpentis	3	xyl2	0.459518264745523	0.778082191780822
arxula adeninivorans	2	xyl2	0.243978989059248	0.351232394366197
blastobotrys raffinofermentans	1	xyl2	0.270294961237759	0.438631790744467
saccharomyces paradoxus	3	xyl2	0.270075899564483	0.574274210637847
blastobotrys muscicola	1	xyl2	0.209482843636562	0.528055952948657
tortispora starmeri	1	xyl2	0.312410161082719	0.187176165803109
tortispora caseinolytica	1	xyl2	0.407602683570095	0.659001161440186
tortispora ganteri	1	xyl2	0.433578085670886	0.0733475479744136
saccharomycopsis capsularis	2	xyl2	0.286985494318674	0.0476190476190476
saccharomycopsis malanga	2	xyl2	0.464248421468495	0.529818496110631
kazachstania turicensis	1	xyl2	0.525008580767423	0.299257567104512
kazachstania rosinii	1	xyl2	0.287120300840766	0.329029655033286
kazachstania spencerorum	1	xyl2	0.395365650799974	0.173693086003373
saccharomyces eubayanus	1	xyl2	0.290799888617438	0.619017365523083
saccharomyces uvarum	1	xyl2	0.318721843367979	0.8014440433213
saccharomyces cerevisiae	3	xyl2	0.260016206981755	0.321908198035678
saccharomyces paradoxus	1	xyl2	0.265171190020403	0.510701419792329
eremothecium sinecaudum	1	xyl2	0.272153352594003	0.663288009888752
ashbya aceri	1	xyl2	0.306674437393461	0.520118489261911
eremothecium gossypii	1	xyl2	0.286268795313214	0.502506564812604
vanderwaltozyma polyspora	1	xyl2	0.390914948894255	0.41196542311192
diddensiella caesifluorescens	1	xyl2	0.438074018156607	0.665240458668492
arxula adeninivorans	1	xyl2	0.25917068692635	0.544542253521127
blastobotrys raffinofermentans	2	xyl2	0.267330968336317	0.403252850435949
candida hispaniensis	1	xyl2	0.326030115484961	0.787415641127432
yarrowia keelungensis	1	xyl2	0.406223019437618	0.790253539677313
yarrowia bubula	1	xyl2	0.285897092019075	0.707653701380176
yarrowia bubula	2	xyl2	0.285897092019075	0.707653701380176
yarrowia deformans	1	xyl2	0.328782482741078	0.520924220391016
yarrowia lipolytica	1	xyl2	0.405612852791705	0.746524938675388
yarrowia divulgata	1	xyl2	0.26393112156471	0.591262907069102
blastobotrys serpentis	2	xyl2	0.489937317365019	0.897018533440774
trigonopsis vinaria	2	xyl2	0.411148822628762	0.829141716566866
trigonopsis variabilis	2	xyl2	0.480456090804395	0.899025341130604
nadsonia fulvescens var elongata	1	xyl2	0.325102358180068	0.799780179520059
blastobotrys nivea	1	xyl2	0.355236037547282	0.516108852048796
blastobotrys proliferans	1	xyl2	0.418418195474476	0.904872727272727
alloascoidea hylecoeti	1	xyl2	0.518605858853487	0.972044824677672
alloascoidea hylecoeti	2	xyl2	0.540999770532764	0.992047234606579
