Sequence	KO
Cyberlindnera_maclurae_35699_x_lcl_NODE_705_length_412_cov_0.820339_ID_24346_c353_3_lcl_NODE_705_length_412_cov_0.820339_ID_24346_c353_3_ORF5_NODE_705_length_412_cov_0.820339_ID_24346_352_2	K00002
Cyberlindnera_misumaiensis_34979_x_lcl_flattened_line_117_c11273_10350_lcl_flattened_line_117_c11273_10350_ORF700_flattened_line_117_11272_10349	K00002
Cyberlindnera_mrakii_34978_x_lcl_NODE_51_length_39543_cov_12.3257_ID_101_c24378_23455_lcl_NODE_51_length_39543_cov_12.3257_ID_101_c24378_23455_ORF290_NODE_51_length_39543_cov_12.3257_ID_101_24377_23454	K00002
Cyberlindnera_petersonii_35325_x_lcl_NODE_107_length_6128_cov_35.5496_ID_323893_713_1669_lcl_NODE_107_length_6128_cov_35.5496_ID_323893_713_1669_ORF9_NODE_107_length_6128_cov_35.5496_ID_323893_712_1668	K00002
Cyberlindnera_saturnus_35686_x_lcl_flattened_line_56_c109679_108756_lcl_flattened_line_56_c109679_108756_ORF1397_flattened_line_56_109678_108755	K00002
Cyberlindnera_suaveolens_35687_x_lcl_NODE_88_length_31297_cov_18.3231_ID_10382_c21702_20779_lcl_NODE_88_length_31297_cov_18.3231_ID_10382_c21702_20779_ORF294_NODE_88_length_31297_cov_18.3231_ID_10382_21701_20778	K00002
Cyberlindnera_xylosilytica_35688_x_lcl_flattened_line_164_c9084_7747_lcl_flattened_line_164_c9084_7747_ORF480_flattened_line_164_9083_7746	K00002
Kuraishia_capsulata_x_lcl_HG793126_c1030804_1029872_lcl_HG793126_c1030804_1029872_ORF13261_HG793126_1030803_1029871	K00002
Kuraishia_molischiana_34933_x_lcl_NODE_36_length_51980_cov_17.3335_ID_71_c28059_27124_lcl_NODE_36_length_51980_cov_17.3335_ID_71_c28059_27124_ORF649_NODE_36_length_51980_cov_17.3335_ID_71_28058_27123	K00002
Lipomyces_arxii_34754_x_lcl_NODE_36_length_135873_cov_11.6034_ID_71_c134769_133948_lcl_NODE_36_length_135873_cov_11.6034_ID_71_c134769_133948_ORF942_NODE_36_length_135873_cov_11.6034_ID_71_134768_133947	K00002
Lipomyces_japonicus_34758_x_lcl_flattened_line_131_23355_24068_lcl_flattened_line_131_23355_24068_ORF370_flattened_line_131_23354_24067	K00002
Lipomyces_kononenkoae_34760_x_lcl_NODE_24_length_201069_cov_18.7772_ID_47_135516_136367_lcl_NODE_24_length_201069_cov_18.7772_ID_47_135516_136367_ORF1329_NODE_24_length_201069_cov_18.7772_ID_47_135515_136366	K00002
Lipomyces_lipofer_34761_x_lcl_flattened_line_0_229322_230023_lcl_flattened_line_0_229322_230023_ORF1675_flattened_line_0_229321_230022	K00002
Lipomyces_lipofer_34761_x_lcl_flattened_line_0_c253798_253097_lcl_flattened_line_0_c253798_253097_ORF5090_flattened_line_0_253797_253096	K00002
Lipomyces_mesembrius_34749_x_lcl_NODE_25_length_224029_cov_16.3037_ID_49_c15282_14461_lcl_NODE_25_length_224029_cov_16.3037_ID_49_c15282_14461_ORF2675_NODE_25_length_224029_cov_16.3037_ID_49_15281_14460	K00002
Lipomyces_starkeyi_x_lcl_scaffold_5_303399_304220_lcl_scaffold_5_303399_304220_ORF8113_scaffold_5_303398_304219	K00002
Ogataea_henricii_26124_x_lcl_flattened_line_20_8941_10341_lcl_flattened_line_20_8941_10341_ORF20_flattened_line_20_8940_10340	K00002
Ogataea_kodamae_34899_x_lcl_NODE_6_length_547818_cov_20.3499_ID_11_494645_495580_lcl_NODE_6_length_547818_cov_20.3499_ID_11_494645_495580_ORF2106_NODE_6_length_547818_cov_20.3499_ID_11_494644_495579	K00002
Ogataea_methanolica_x_gi_1002316333_dbj_BCKW01000004.1_c1077577_1076615_gi_1002316333_dbj_BCKW01000004.1_c1077577_1076615_ORF11040_1002316333_1077576_1076614	K00002
Ogataea_minuta_34902_x_lcl_NODE_2_length_1316370_cov_40.1168_ID_3_c76003_75035_lcl_NODE_2_length_1316370_cov_40.1168_ID_3_c76003_75035_ORF17053_NODE_2_length_1316370_cov_40.1168_ID_3_76002_75034	K00002
Ogataea_nonfermentans_34904_x_lcl_flattened_line_23_c26347_25412_lcl_flattened_line_23_c26347_25412_ORF1834_flattened_line_23_26346_25411	K00002
Ogataea_parapolymorpha_x_lcl_NC_027863.1_1269149_1270084_lcl_NC_027863.1_1269149_1270084_ORF5499_NC_027863.1_1269148_1270083	K00002
Ogataea_philodendra_34893_x_lcl_NODE_4_length_568887_cov_64.9081_ID_7_531356_532375_lcl_NODE_4_length_568887_cov_64.9081_ID_7_531356_532375_ORF2450_NODE_4_length_568887_cov_64.9081_ID_7_531355_532374	K00002
Ogataea_pilisensis_34892_x_lcl_NODE_4_length_354329_cov_14.5222_ID_7_c68040_66892_lcl_NODE_4_length_354329_cov_14.5222_ID_7_c68040_66892_ORF3752_NODE_4_length_354329_cov_14.5222_ID_7_68039_66891	K00002
Ogataea_pini_34891_x_lcl_NODE_18_length_230278_cov_46.9649_ID_35_58789_59484_lcl_NODE_18_length_230278_cov_46.9649_ID_35_58789_59484_ORF110_NODE_18_length_230278_cov_46.9649_ID_35_58788_59483	K00002
Ogataea_polymorpha_x_lcl_scaffold_4_c29347_28412_lcl_scaffold_4_c29347_28412_ORF11315_scaffold_4_29346_28411	K00002
Ogataea_populiabae_34637_x_lcl_NODE_7_length_745218_cov_17.2354_ID_13_718116_718841_lcl_NODE_7_length_745218_cov_17.2354_ID_13_718116_718841_ORF4521_NODE_7_length_745218_cov_17.2354_ID_13_718115_718840	K00002
Ogataea_trehaloabstinens_34887_x_lcl_NODE_10_length_488516_cov_19.456_ID_19_c442992_442105_lcl_NODE_10_length_488516_cov_19.456_ID_19_c442992_442105_ORF4812_NODE_10_length_488516_cov_19.456_ID_19_442991_442104	K00002
Ogataea_zsoltii_34885_x_lcl_NODE_5_length_464012_cov_40.2151_ID_9_c380357_379377_lcl_NODE_5_length_464012_cov_40.2151_ID_9_c380357_379377_ORF3422_NODE_5_length_464012_cov_40.2151_ID_9_380356_379376	K00002
Pachysolen_tannophilus_x_lcl_scaffold_2_c2176425_2175487_lcl_scaffold_2_c2176425_2175487_ORF12862_scaffold_2_2176424_2175486	K00002
Phaffomyces_antillensis_35671_x_lcl_flattened_line_110_c9471_8518_lcl_flattened_line_110_c9471_8518_ORF549_flattened_line_110_9470_8517	K00002
Phaffomyces_opuntiae_35670_x_lcl_NODE_64_length_77145_cov_66.0559_ID_9405_c16089_15136_lcl_NODE_64_length_77145_cov_66.0559_ID_9405_c16089_15136_ORF450_NODE_64_length_77145_cov_66.0559_ID_9405_16088_15135	K00002
Phaffomyces_thermotolerans_35672_x_lcl_flattened_line_83_61158_62156_lcl_flattened_line_83_61158_62156_ORF298_flattened_line_83_61157_62155	K00002
Priceomyces_carsonii_35296_x_lcl_NODE_3_length_707165_cov_22.0283_ID_1313_c94690_93728_lcl_NODE_3_length_707165_cov_22.0283_ID_1313_c94690_93728_ORF6034_NODE_3_length_707165_cov_22.0283_ID_1313_94689_93727	K00002
Saccharomycopsis_malanga_x_gi_1002316416_dbj_BCGJ01000002.1_c1608602_1607544_gi_1002316416_dbj_BCGJ01000002.1_c1608602_1607544_ORF12074_1002316416_1608601_1607543	K00002
Starmera_quercuum_34594_x_lcl_flattened_line_11_c412409_411420_lcl_flattened_line_11_c412409_411420_ORF4202_flattened_line_11_412408_411419	K00002
Tortispora_starmeri_35279_x_lcl_NODE_13_length_269795_cov_9.87415_ID_4553_247754_248767_lcl_NODE_13_length_269795_cov_9.87415_ID_4553_247754_248767_ORF1067_NODE_13_length_269795_cov_9.87415_ID_4553_247753_248766	K00002
Trigonopsis_variabilis_35650_x_lcl_NODE_2_length_1838899_cov_46.6078_ID_1253_1338655_1339575_lcl_NODE_2_length_1838899_cov_46.6078_ID_1253_1338655_1339575_ORF2896_NODE_2_length_1838899_cov_46.6078_ID_1253_1338654_1339574	K00002
Trigonopsis_vinaria_35282_x_lcl_NODE_4_length_684481_cov_27.1247_ID_2120_507483_508409_lcl_NODE_4_length_684481_cov_27.1247_ID_2120_507483_508409_ORF4039_NODE_4_length_684481_cov_27.1247_ID_2120_507482_508408	K00002
Wickerhamomyces_alni_35274_x_lcl_NODE_23_length_158662_cov_14.2458_ID_5533_9573_10502_lcl_NODE_23_length_158662_cov_14.2458_ID_5533_9573_10502_ORF639_NODE_23_length_158662_cov_14.2458_ID_5533_9572_10501	K00002
Wickerhamomyces_anomalus_x_lcl_scaffold_5_8327_9265_lcl_scaffold_5_8327_9265_ORF2553_scaffold_5_8326_9264	K00002
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_5_length_756861_cov_23.9656_ID_3894_c733744_732806_lcl_NODE_5_length_756861_cov_23.9656_ID_3894_c733744_732806_ORF6837_NODE_5_length_756861_cov_23.9656_ID_3894_733743_732805	K00002
Blastobotrys_proliferans_34670_x_lcl_NODE_73_length_74869_cov_14.3415_ID_145_61704_62018_lcl_NODE_73_length_74869_cov_14.3415_ID_145_61704_62018_ORF454_NODE_73_length_74869_cov_14.3415_ID_145_61703_62017	K00011
Aciculoconidium_aculeatum_34654_x_lcl_NODE_47_length_124665_cov_34.7406_ID_93_61107_62150_lcl_NODE_47_length_124665_cov_34.7406_ID_93_61107_62150_ORF584_NODE_47_length_124665_cov_34.7406_ID_93_61106_62149	K00062
Ambrosiozyma_ambrosiae_26137_x_lcl_flattened_line_10_198170_199258_lcl_flattened_line_10_198170_199258_ORF1125_flattened_line_10_198169_199257	K00062
Ambrosiozyma_kashinagacola_x_gi_1002316246_dbj_BCGA01000011.1_c334800_333574_gi_1002316246_dbj_BCGA01000011.1_c334800_333574_ORF3608_1002316246_334799_333573	K00062
Ambrosiozyma_maleeae_35040_x_lcl_NODE_14_length_300086_cov_45.7339_ID_27_50788_51789_lcl_NODE_14_length_300086_cov_45.7339_ID_27_50788_51789_ORF114_NODE_14_length_300086_cov_45.7339_ID_27_50787_51788	K00062
Ambrosiozyma_oregonensis_34946_x_lcl_NODE_3_length_574203_cov_71.0128_ID_5_138949_139950_lcl_NODE_3_length_574203_cov_71.0128_ID_5_138949_139950_ORF214_NODE_3_length_574203_cov_71.0128_ID_5_138948_139949	K00062
Ambrosiozyma_philentoma_34947_x_lcl_NODE_31_length_171028_cov_37.7995_ID_61_76570_77571_lcl_NODE_31_length_171028_cov_37.7995_ID_61_76570_77571_ORF130_NODE_31_length_171028_cov_37.7995_ID_61_76569_77570	K00062
Ambrosiozyma_pseudovanderkliftii_35041_x_lcl_NODE_4_length_502110_cov_83.9821_ID_7_124522_125556_lcl_NODE_4_length_502110_cov_83.9821_ID_7_124522_125556_ORF224_NODE_4_length_502110_cov_83.9821_ID_7_124521_125555	K00062
Ambrosiozyma_vanderkliftii_26145_x_lcl_flattened_line_12_c124720_123686_lcl_flattened_line_12_c124720_123686_ORF1508_flattened_line_12_124719_123685	K00062
Blastobotrys_americana_34681_x_lcl_flattened_line_10_c357396_356326_lcl_flattened_line_10_c357396_356326_ORF4317_flattened_line_10_357395_356325	K00062
Blastobotrys_mokoenaii_34675_x_lcl_NODE_61_length_46681_cov_38.2901_ID_121_c26723_25689_lcl_NODE_61_length_46681_cov_38.2901_ID_121_c26723_25689_ORF578_NODE_61_length_46681_cov_38.2901_ID_121_26722_25688	K00062
Blastobotrys_muscicola_34674_x_lcl_NODE_82_length_30793_cov_16.6413_ID_163_15537_16613_lcl_NODE_82_length_30793_cov_16.6413_ID_163_15537_16613_ORF181_NODE_82_length_30793_cov_16.6413_ID_163_15536_16612	K00062
Blastobotrys_proliferans_34670_x_lcl_NODE_27_length_184260_cov_14.2397_ID_53_c143968_142955_lcl_NODE_27_length_184260_cov_14.2397_ID_53_c143968_142955_ORF2195_NODE_27_length_184260_cov_14.2397_ID_53_143967_142954	K00062
Blastobotrys_proliferans_34670_x_lcl_NODE_87_length_56911_cov_12.7308_ID_173_13780_14781_lcl_NODE_87_length_56911_cov_12.7308_ID_173_13780_14781_ORF34_NODE_87_length_56911_cov_12.7308_ID_173_13779_14780	K00062
Brettanomyces_anomalus_x_lcl_LCTY01000002.1_c472839_471832_lcl_LCTY01000002.1_c472839_471832_ORF15896_LCTY01000002.1_472838_471831	K00062
Candida_arabinofermentans_x_lcl_scaffold_15_273775_274779_lcl_scaffold_15_273775_274779_ORF469_scaffold_15_273774_274778	K00062
Candida_boidinii_JCM9604_x_gi_1002316614_dbj_BCGP01000006.1_c323757_322720_gi_1002316614_dbj_BCGP01000006.1_c323757_322720_ORF5894_1002316614_323756_322719	K00062
Candida_fragi_35302_x_lcl_flattened_line_2_c340778_339765_lcl_flattened_line_2_c340778_339765_ORF5585_flattened_line_2_340777_339764	K00062
Candida_gorgasii_41863_x_lcl_NODE_3_length_1566585_cov_20.5904_ID_881_c640624_639470_lcl_NODE_3_length_1566585_cov_20.5904_ID_881_c640624_639470_ORF13954_NODE_3_length_1566585_cov_20.5904_ID_881_640623_639469	K00062
Candida_infanticola_x_lcl_LWLF01000022.1_c384865_383924_lcl_LWLF01000022.1_c384865_383924_ORF27882_LWLF01000022.1_384864_383923	K00062
Candida_montana_35037_x_lcl_NODE_1_length_1500601_cov_22.1594_ID_1_1424519_1425511_lcl_NODE_1_length_1500601_cov_22.1594_ID_1_1424519_1425511_ORF5257_NODE_1_length_1500601_cov_22.1594_ID_1_1424518_1425510	K00062
Candida_pyralidae_35011_x_lcl_NODE_21_length_101387_cov_125.043_ID_41_61309_62367_lcl_NODE_21_length_101387_cov_125.043_ID_41_61309_62367_ORF131_NODE_21_length_101387_cov_125.043_ID_41_61308_62366	K00062
Candida_succiphila_x_gi_1002316218_dbj_BCGL01000006.1_c145284_144280_gi_1002316218_dbj_BCGL01000006.1_c145284_144280_ORF10036_1002316218_145283_144279	K00062
Cephaloascus_albidus_34998_x_lcl_flattened_line_233_35073_36092_lcl_flattened_line_233_35073_36092_ORF217_flattened_line_233_35072_36091	K00062
Citeromyces_hawaiiensis_34950_x_lcl_scf7180000031393_c34762_33761_lcl_scf7180000031393_c34762_33761_ORF580_scf7180000031393_34761_33760	K00062
Citeromyces_matritensis_26142_x_lcl_scf7180000041983_c37424_36321_lcl_scf7180000041983_c37424_36321_ORF477_scf7180000041983_37423_36320	K00062
Citeromyces_siamensis_34952_x_lcl_scf7180000060112_1896_2906_lcl_scf7180000060112_1896_2906_ORF17_scf7180000060112_1895_2905	K00062
Citeromyces_siamensis_34952_x_lcl_scf7180000061664_c18006_16990_lcl_scf7180000061664_c18006_16990_ORF193_scf7180000061664_18005_16989	K00062
Dekkera_bruxellensis_x_lcl_scaffold_3_1023707_1024720_lcl_scaffold_3_1023707_1024720_ORF5229_scaffold_3_1023706_1024719	K00062
Komagataella_pastoris_x_lcl_chromosome_2_1479115_1480191_lcl_chromosome_2_1479115_1480191_ORF2894_chromosome_2_1479114_1480190	K00062
Komagataella_populi_26274_x_lcl_NODE_9_length_223355_cov_13.538_ID_17_161118_162278_lcl_NODE_9_length_223355_cov_13.538_ID_17_161118_162278_ORF1139_NODE_9_length_223355_cov_13.538_ID_17_161117_162277	K00062
Komagataella_pseudopastoris_34939_x_lcl_NODE_14_length_242937_cov_32.3739_ID_27_c62522_61359_lcl_NODE_14_length_242937_cov_32.3739_ID_27_c62522_61359_ORF2108_NODE_14_length_242937_cov_32.3739_ID_27_62521_61358	K00062
Kregervanrija_fluxuum_35675_x_lcl_NODE_4_length_399286_cov_39.7387_ID_11480_c142700_141702_lcl_NODE_4_length_399286_cov_39.7387_ID_11480_c142700_141702_ORF3504_NODE_4_length_399286_cov_39.7387_ID_11480_142699_141701	K00062
Kuraishia_capsulata_x_lcl_HG793126_c813451_812444_lcl_HG793126_c813451_812444_ORF13764_HG793126_813450_812443	K00062
Kuraishia_molischiana_34933_x_lcl_NODE_11_length_419317_cov_17.5396_ID_21_119462_120457_lcl_NODE_11_length_419317_cov_17.5396_ID_21_119462_120457_ORF1203_NODE_11_length_419317_cov_17.5396_ID_21_119461_120456	K00062
Kuraishia_ogatae_34932_x_lcl_NODE_13_length_399403_cov_11.7827_ID_25_c126504_125350_lcl_NODE_13_length_399403_cov_11.7827_ID_25_c126504_125350_ORF4132_NODE_13_length_399403_cov_11.7827_ID_25_126503_125349	K00062
Kurtzmaniella_cleridarum_35667_x_lcl_flattened_line_94_71301_72314_lcl_flattened_line_94_71301_72314_ORF380_flattened_line_94_71300_72313	K00062
Lachancea_waltii_x_lcl_AADM01000100.1_25227_26243_lcl_AADM01000100.1_25227_26243_ORF178_AADM01000100.1_25226_26242	K00062
Martiniozyma_abiesophila_34631_x_lcl_NODE_294_length_7564_cov_11.6492_ID_308430_3879_4844_lcl_NODE_294_length_7564_cov_11.6492_ID_308430_3879_4844_ORF29_NODE_294_length_7564_cov_11.6492_ID_308430_3878_4843	K00062
Nakaseomyces_castellii_x_lcl_CACA0S12_c1541325_1540387_lcl_CACA0S12_c1541325_1540387_ORF15534_CACA0S12_1541324_1540386	K00062
Nakazawaea_holstii_34918_x_lcl_flattened_line_149_c21341_20283_lcl_flattened_line_149_c21341_20283_ORF398_flattened_line_149_21340_20282	K00062
Nakazawaea_holstii_34918_x_lcl_flattened_line_64_c99422_98376_lcl_flattened_line_64_c99422_98376_ORF1223_flattened_line_64_99421_98375	K00062
Nakazawaea_peltata_x_gi_1002316195_dbj_BCGQ01000006.1_633971_635023_gi_1002316195_dbj_BCGQ01000006.1_633971_635023_ORF2685_1002316195_633970_635022	K00062
Nakazawaea_peltata_x_gi_1002316200_dbj_BCGQ01000001.1_c737781_736786_gi_1002316200_dbj_BCGQ01000001.1_c737781_736786_ORF25719_1002316200_737780_736785	K00062
Ogataea_glucozyma_34897_x_lcl_flattened_line_58_120080_121084_lcl_flattened_line_58_120080_121084_ORF630_flattened_line_58_120079_121083	K00062
Ogataea_henricii_26124_x_lcl_flattened_line_0_c213687_212620_lcl_flattened_line_0_c213687_212620_ORF10032_flattened_line_0_213686_212619	K00062
Ogataea_kodamae_34899_x_lcl_NODE_8_length_401107_cov_21.2284_ID_15_c195151_194048_lcl_NODE_8_length_401107_cov_21.2284_ID_15_c195151_194048_ORF2874_NODE_8_length_401107_cov_21.2284_ID_15_195150_194047	K00062
Ogataea_methanolica_x_gi_1002316331_dbj_BCKW01000006.1_c653706_652585_gi_1002316331_dbj_BCKW01000006.1_c653706_652585_ORF4642_1002316331_653705_652584	K00062
Ogataea_methylivora_34901_x_lcl_flattened_line_28_217280_218281_lcl_flattened_line_28_217280_218281_ORF718_flattened_line_28_217279_218280	K00062
Ogataea_minuta_34902_x_lcl_NODE_5_length_1023165_cov_41.5042_ID_9_349215_350216_lcl_NODE_5_length_1023165_cov_41.5042_ID_9_349215_350216_ORF5305_NODE_5_length_1023165_cov_41.5042_ID_9_349214_350215	K00062
Ogataea_naganishii_34903_x_lcl_NODE_1_length_1633205_cov_71.5147_ID_1_678591_679607_lcl_NODE_1_length_1633205_cov_71.5147_ID_1_678591_679607_ORF8127_NODE_1_length_1633205_cov_71.5147_ID_1_678590_679606	K00062
Ogataea_nitratoaversa_34636_x_lcl_flattened_line_14_72810_73814_lcl_flattened_line_14_72810_73814_ORF1129_flattened_line_14_72809_73813	K00062
Ogataea_nonfermentans_34904_x_lcl_flattened_line_1_c937988_936783_lcl_flattened_line_1_c937988_936783_ORF9520_flattened_line_1_937987_936782	K00062
Ogataea_parapolymorpha_x_lcl_NC_027864.1_267220_268218_lcl_NC_027864.1_267220_268218_ORF575_NC_027864.1_267219_268217	K00062
Ogataea_philodendra_34893_x_lcl_NODE_15_length_270368_cov_69.5672_ID_29_72059_73177_lcl_NODE_15_length_270368_cov_69.5672_ID_29_72059_73177_ORF735_NODE_15_length_270368_cov_69.5672_ID_29_72058_73176	K00062
Ogataea_pini_34891_x_lcl_NODE_1_length_1522243_cov_38.1329_ID_1_c325110_324106_lcl_NODE_1_length_1522243_cov_38.1329_ID_1_c325110_324106_ORF15580_NODE_1_length_1522243_cov_38.1329_ID_1_325109_324105	K00062
Ogataea_polymorpha_x_lcl_scaffold_5_266985_267983_lcl_scaffold_5_266985_267983_ORF6002_scaffold_5_266984_267982	K00062
Ogataea_populiabae_34637_x_lcl_NODE_1_length_1154972_cov_14.4185_ID_1_c70768_69764_lcl_NODE_1_length_1154972_cov_14.4185_ID_1_c70768_69764_ORF11615_NODE_1_length_1154972_cov_14.4185_ID_1_70767_69763	K00062
Ogataea_ramenticola_34890_x_lcl_NODE_12_length_456140_cov_104.9_ID_23_346332_347327_lcl_NODE_12_length_456140_cov_104.9_ID_23_346332_347327_ORF2094_NODE_12_length_456140_cov_104.9_ID_23_346331_347326	K00062
Ogataea_trehalophila_34886_x_lcl_NODE_7_length_341278_cov_13.0664_ID_13_332339_333343_lcl_NODE_7_length_341278_cov_13.0664_ID_13_332339_333343_ORF1204_NODE_7_length_341278_cov_13.0664_ID_13_332338_333342	K00062
Ogataea_zsoltii_34885_x_lcl_NODE_17_length_254749_cov_31.1339_ID_33_131205_132203_lcl_NODE_17_length_254749_cov_31.1339_ID_33_131205_132203_ORF1573_NODE_17_length_254749_cov_31.1339_ID_33_131204_132202	K00062
Pachysolen_tannophilus_x_lcl_scaffold_3_c477463_476417_lcl_scaffold_3_c477463_476417_ORF9534_scaffold_3_477462_476416	K00062
Peterozyma_toletana_34884_x_lcl_flattened_line_34_c63968_62898_lcl_flattened_line_34_c63968_62898_ORF1940_flattened_line_34_63967_62897	K00062
Peterozyma_xylosa_34883_x_lcl_flattened_line_34_c84299_83316_lcl_flattened_line_34_c84299_83316_ORF2551_flattened_line_34_84298_83315	K00062
Phaffomyces_thermotolerans_35672_x_lcl_flattened_line_58_29610_30602_lcl_flattened_line_58_29610_30602_ORF329_flattened_line_58_29609_30601	K00062
Pichia_exigua_34629_x_lcl_flattened_line_24_c217284_216286_lcl_flattened_line_24_c217284_216286_ORF1114_flattened_line_24_217283_216285	K00062
Pichia_heedii_34627_x_lcl_NODE_10_length_188970_cov_12.9931_ID_19_181693_182700_lcl_NODE_10_length_188970_cov_12.9931_ID_19_181693_182700_ORF267_NODE_10_length_188970_cov_12.9931_ID_19_181692_182699	K00062
Pichia_kudriavzevii_34625_x_lcl_scf7180000023358_209499_210497_lcl_scf7180000023358_209499_210497_ORF1282_scf7180000023358_209498_210496	K00062
Pichia_membranifaciens_x_lcl_scaffold_4_1088720_1089721_lcl_scaffold_4_1088720_1089721_ORF5107_scaffold_4_1088719_1089720	K00062
Pichia_nakasei_34624_x_lcl_NODE_2_length_862332_cov_74.7162_ID_3_c575539_574541_lcl_NODE_2_length_862332_cov_74.7162_ID_3_c575539_574541_ORF7960_NODE_2_length_862332_cov_74.7162_ID_3_575538_574540	K00062
Pichia_norvegensis_34623_x_lcl_flattened_line_24_183552_184601_lcl_flattened_line_24_183552_184601_ORF988_flattened_line_24_183551_184600	K00062
