all_taxa	max_xyl1_stAI	max_xyl2_stAI	max_xyl3_stAI
blastobotrys proliferans	0.491244925271202	0.420147860738671	0.333405931349104
metschnikowia borealis	0.223273755523389	0.198840173932112	0.172059109107894
kazachstania unispora	0.67118339115607	NA	0.516447392423189
saccharomyces kudriavzevii	0.292094475795945	0.288559409696102	0.242252669114167
ogataea trehaloabstinens	0.34833954076247	0.348175276724911	0.331492782568774
kluyveromyces aestuarii	0.323426421575026	0.281215740731347	0.250697367875655
eremothecium gossypii	0.336957116692557	0.287167480707115	0.251032624944787
hyphopichia burtonii	0.438410317663026	0.419991156022429	0.418870970976261
nakaseomyces bracarensis	0.388125378349395	NA	0.244476671968023
candida blattae	0.457320614788894	0.410226905171938	0.35935919795038
nakaseomyces nivariensis	0.440557946744206	NA	0.256924582682594
yarrowia keelungensis	0.441086584830315	0.402395072443731	0.314759537945676
lachancea fantastica	0.247845528422712	0.27069991466223	0.20649804870591
candida orthopsilosis	0.303193104327388	0.306080915674657	0.299627518919364
debaryomyces fabryi	0.542647147376766	0.502321013825324	0.428607280033935
hanseniaspora vinae	0.473157488446907	NA	0.425226126895131
ogataea minuta	0.405991015860107	0.396811205168891	0.338230257938628
metschnikowia aberdeeniae	0.483281620186149	0.447568424719873	0.418605208346233
candida arabinofermentans	0.690431464982162	0.669815662447339	0.64431939884585
cyberlindnera xylosilytica	0.584193220271711	0.492253711306005	0.465932516002437
hanseniaspora clermontiae	0.300643124964557	NA	NA
ogataea philodendra	0.415926830029199	0.362016322293704	0.35088083792953
lipomyces mesembrius	0.388889415311042	0.321451230976498	0.28115791742411
torulaspora franciscae	0.380329930925675	0.346201473096469	0.296144915871009
saccharomyces uvarum	0.327488805124545	0.321202733261502	0.284649843507887
zygoascus meyerae	0.38077666439008	0.358773559109352	0.305563044621213
saturnispora mendoncae	0.410198685105909	0.410782509962162	0.391025427307676
metschnikowia lockheadii	0.326278983279645	0.300531277482643	0.249701982610224
candida hispaniensis	0.325562272316899	0.326822983576966	0.279160195896487
wickerhamomyces anomalus	0.448643855919188	0.392268324416538	0.411798084712186
yamadazyma nakazawae	0.556387861549023	0.498761399603365	0.469025000932755
priceomyces carsonii	0.476937806833099	0.413594429931371	0.410287869614784
candida kruisii	0.572064400427133	0.518671334385492	0.447264391226368
kazachstania solicola	0.460940957445685	NA	0.350502215409076
wickerhamomyces canadensis	0.537563445199497	0.492692411370326	0.437865400728309
scheffersomyces stipitis	0.526266537795927	0.454880557152894	0.405514636275798
candida homilentoma	0.463297590400203	0.40697037885637	0.380690287578524
citeromyces hawaiiensis	0.425649062824474	0.410243469229066	0.401724876949266
blastobotrys muscicola	0.283300843632951	0.210294163898702	0.168160514076617
candida vartiovaarae	0.53810079284511	0.44966381137691	0.412351636792756
blastobotrys raffinofermentans	0.423202471715927	0.368000574116583	0.267037699759129
cyberlindnera maclurae	0.583806140468746	0.476987665836693	0.468955920596877
saturnispora saitoi	0.327216749504196	0.320446565272738	0.292650268218089
pichia terricola	0.535198597530488	0.438061826182501	0.421031100342986
ogataea ramenticola	0.685251227943386	0.677735713969158	0.657305799327169
pichia occidentalis	0.343051256070588	0.277267498221207	0.258170065015741
danielozyma ontarioensis	0.505034603826887	0.428520864236374	0.42613221881726
candida albicans	0.627138572310335	0.574860205329405	0.564671461380229
metschnikowia kipukae	0.476539322996643	0.438699781357802	0.399834572650674
sugiyamaella lignohabitans	0.518618296873543	0.469386038443475	0.334463877664519
lachancea dasiensis	0.281302678784569	0.265530435567317	0.234666977071581
eremothecium cymbalariae	0.389737731538833	NA	0.311519938870571
candida fragi	0.358765588679231	0.341334302083877	0.338434518226867
saccharomyces mikatae	0.32166656201603	0.341961364850932	0.286587445690868
debaryomyces nepalensis	0.324246402307536	0.257553733833317	0.246132527337618
saccharomyces paradoxus	0.295374757927942	0.28422947865595	0.252687308786154
candida auris	0.458797975522413	0.369354578995175	0.31157452128083
zygosaccharomyces bailii	0.175467452287819	0.176183349366376	0.13323226892151
debaryomyces maramus	0.507209524957274	0.462537556442022	0.392719705570475
saccharomyces eubayanus	0.322044167476137	0.294550680932837	0.280559598860374
nadsonia fulvescens	0.353432651211535	0.336950849592499	0.261477337937166
ogataea nonfermentans	0.433288742066863	0.382685136480068	0.35829408740568
millerozyma acaciae	0.335844380394204	0.346494014360059	0.286592725361129
pichia norvegensis	0.330798572928743	0.304243023173099	0.271364500768933
priceomyces haplophilus	0.487504397502784	0.42477267373768	0.428497143622011
pichia nakasei	0.53396016895218	0.473731079023351	0.456869565659187
candida oregonensis	0.507527315862205	0.414234986230961	0.359358739952835
metschnikowia hawaiiensis	0.156175723297695	0.148194553950172	0.136914504345476
candida parapsilosis	0.465582233413301	0.455698153271881	0.441788212306104
candida sorboxylosa	0.346247612458515	0.376913653137712	0.285812130136678
candida azyma	0.508948739114635	0.468508470785691	0.444864392560717
metschnikowia arizonensis	0.433517826622657	0.401980317997757	0.398892629442464
kodamaea ohmeri	0.513798167428785	0.403860809685788	0.32857677505491
candida canberraensis	0.435119862018831	0.363664614456629	0.3411278883031
komagataella pastoris	0.296800724452246	0.288891070644497	0.286438726397024
candida montana	0.693603253914719	0.563624981521008	0.493524986806096
hanseniaspora uvarum	0.341765917132925	NA	NA
wickerhamomyces bovis	0.648487134452467	0.569515078753555	0.493167748720198
naumovozyma dairenensis	0.582017007521507	NA	0.426264969343817
dipodascus geniculatus	0.486063811985107	0.453519169147773	0.393080749670827
pachysolen tannophilus	0.546533768244024	0.533411697330474	0.510460012901889
kazachstania siamensis	0.57938682650875	NA	0.431735646335913
tetrapisispora iriomotensis	0.546155942901737	NA	0.448714133608244
lipomyces doorenjongii	0.564372180667551	0.554754195809313	0.521409304686849
nakaseomyces bacillisporus	0.333277914571703	NA	0.233424583904574
yarrowia lipolytica	0.484665542246077	0.404860586324983	0.326037815959238
brettanomyces custersianus	0.39231026766553	0.383618730992775	0.371309323788954
nakaseomyces delphensis	0.39977269539055	NA	0.306658491443389
pichia exigua	0.400958320741502	0.35586028986715	0.345638175804654
kurtzmaniella cleridarum	0.304377417550363	0.252590919272748	0.246194932160341
kazachstania africana	0.428139743945065	NA	0.385614585567172
eremothecium coryli	0.283392492840432	NA	NA
cephaloascus albidus	0.5789476890046	0.543978684510438	0.443719449229973
candida cretensis	0.470658436831148	0.408630806212576	0.364779722138509
yamadazyma scolyti	0.527177460605833	0.506529988804973	0.479755083929366
ogataea pilisensis	0.49216701240611	0.465971979192178	0.418831983098328
ogataea kodamae	0.299342451144579	0.274514770125272	0.23833975604102
zygosaccharomyces kombuchaensis	0.411567997002612	0.387821670962979	0.35069646997591
wickerhamiella domercqiae	0.21276430647408	NA	NA
komagataella pseudopastoris	0.317783285049515	0.29868836704558	0.272743311058728
candida restingae	0.382365781926789	0.338455415095261	0.302226442655931
lipomyces lipofer	0.505817951845498	0.531930349826007	NA
yarrowia divulgata	0.321797236206286	0.264772844888442	0.240694590724165
saccharomyces arboricola	0.346280489370934	0.344332592917925	0.315974265077133
ogataea henricii	0.444927435182151	0.404664273440673	0.33379466834933
lipomyces arxii	0.340307739271354	0.332176654115733	0.270433755430381
meyerozyma guilliermondii	0.585440682171402	0.503333486948191	0.490695354831287
metschnikowia ipomoeae	0.283103007052832	0.273685853980655	0.240383303594569
pichia heedii	0.59079687068478	0.528726969961738	0.51651673220728
tetrapisispora phaffii	0.480080936358427	NA	0.379221108943496
ogataea polymorpha	0.43948059492642	0.41182397984953	0.384023500922361
spathaspora arborariae	0.446406176754993	0.372282454383125	0.347061464001091
candida wancherniae	0.556767342430714	0.50090595652412	0.50463143255522
ambrosiozyma monospora	0.554136181993845	0.564962954597248	0.48056096213531
candida glabrata	0.394970558394959	NA	0.238027984715571
debaryomyces subglobosus	0.5754790749438	0.507601111764986	0.456158649737588
metschnikowia dekortum	0.169557798975106	0.161588232893844	0.156014855950606
blastobotrys serpentis	0.533749603898578	0.490533606768086	0.42105722055399
hanseniaspora osmophila	0.397185679181955	NA	0.376488963158813
candida succiphila	0.441240293324923	0.425290720204431	0.397198734340467
metschnikowia santaceciliae	0.362079318871053	0.334757923045994	0.301515498758607
citeromyces matritensis	0.381084208131017	0.360475476444975	0.340458048936955
candida versatilis	0.342141773686725	NA	NA
brettanomyces anomalus	0.407541336776485	0.410426765666344	0.394674326473744
spathaspora girioi	0.37806924365418	0.353863564764728	0.305058335987601
candida tanzawaensis	0.479493062189834	0.372611436214934	0.354530926224295
metschnikowia continentalis	0.250581509779703	0.243144614305272	0.208210324750711
torulaspora delbrueckii	0.436126059619305	0.418224705624783	0.37348709981593
spathaspora hagerdaliae	0.583875102034385	0.599027534783049	0.495586608538399
zygoascus ofunaensis	0.530488231369258	0.388660830817075	0.424338611134251
kregervanrija delftensis	0.499797105323914	0.488602000727961	0.438722433105601
hanseniaspora pseudoguilliermondii	0.310733083372067	NA	NA
zygotorulaspora mrakii	0.313155088998914	0.295530114219846	0.249642197634857
lipomyces oligophaga	0.278593832684084	0.361774368393155	0.251045895876741
kloeckera hatyaiensis	0.200879266251917	NA	NA
starmera quercuum	0.38433112427648	0.298727961092548	0.266902887764027
ashbya aceri	0.36940418144891	0.30761626239164	0.276118266802379
candida incommunis	0.426406519425602	0.361815600388187	0.332482353468111
metschnikowia hamakuensis	0.169511411535745	0.158170673412307	0.148245050306207
kuraishia capsulata	0.557593157155141	0.492950452540573	0.490789766761797
saturnispora hagleri	0.338381898754097	0.324075918766163	0.318341398190317
kluyveromyces marxianus	0.436870689907643	0.30227609966113	0.342736220602509
wickerhamomyces ciferrii	0.599851859774788	0.535912455722021	0.551371926089991
blastobotrys mokoenaii	0.433528804410492	0.429796015957218	0.338709990385992
ascoidea asiatica	0.677645514360542	0.678051575017362	0.690145428270548
saturnispora zaruensis	0.248389113265559	0.219545679167851	0.214356910128655
candida hawaiiana	0.447391258998877	0.363025992220982	0.373985951869728
deakozyma indianensis	0.473659788125461	0.403516270553258	0.31855112981899
tetrapisispora fleetii	0.306820634374377	NA	NA
blastobotrys peoriensis	0.534963771985239	0.484623210362227	0.431106640031545
metschnikowia proteae	0.457020494706426	0.434277792618592	0.416992708967389
candida golubevii	0.435247968960828	0.357059281247191	0.36089658842625
candida gatunensis	0.306471713970385	0.249787649701872	0.19962728879561
pichia kudriavzevii	0.340757494185493	0.314421850675682	0.277383104684354
yueomyces sinensis	0.54006343332022	NA	NA
priceomyces medius	0.552307068006649	0.48373940582425	0.484336829028185
yarrowia deformans	0.434340014596606	0.331706627898304	0.30547000611141
ogataea nitratoaversa	0.619732836553755	0.592582328238159	0.556203425953684
metschnikowia bicuspidata	0.313874336392163	0.300624773391664	0.281373125261322
candida ponderosae	0.523289542312875	0.504357161162047	0.484755049855698
ogataea methylivora	0.493308248555199	0.452895639131006	0.428546343058695
hanseniaspora valbyensis	0.270095485100039	NA	NA
torulaspora maleeae	0.42332485887891	0.346631850685254	0.311365253281037
candida tenuis	0.556316592422361	0.533256821080673	0.486650764871995
scheffersomyces lignosus	0.498016738853118	0.464762210520159	0.421280728417164
hanseniaspora singularis	0.196939936897475	NA	NA
kazachstania intestinalis	0.334772449035496	NA	0.260189184661856
tortispora starmeri	0.376041732643778	0.316994302087563	0.312627036050754
candida dubliniensis	0.542661558845519	0.485600238683312	0.48017774602527
tortispora ganteri	0.495347630499227	0.434256224628911	0.470211742835239
candida salmanticensis	0.466388731371037	0.37686202030379	0.338741471945961
aciculoconidium aculeatum	0.446123533103473	0.381336038722848	0.292285895184736
barnettozyma salicaria	0.493601356127647	0.399445100145681	0.350401433068934
candida stellimalicola	0.352277103992169	0.302439162059187	0.301411711960652
priceomyces castillae	0.510434331552197	0.434799490772985	0.414255976857398
dipodascus albidus	0.497104789311395	0.492034906131408	0.395369210508562
candida pyralidae	0.530084532848054	0.437872548921496	0.405488596047806
nakazawaea holstii	0.6578892443611	0.584857337238046	0.582027984993615
lipomyces japonicus	0.421891864753715	0.482922875385341	0.261471606822665
lachancea lanzarotensis	0.243403919824967	0.227961719357713	0.206421710961813
kregervanrija fluxuum	0.516802144830829	0.5115539970847	0.463380309649269
kuraishia molischiana	0.440438927130691	0.424408682809829	0.38218680443302
lachancea mirantina	0.322674840293213	0.287859812684661	0.252800550448553
tortispora caseinolytica	0.45740252064269	0.407397688475604	0.375589937146383
candida heveicola	0.455094478053088	0.390294591072524	0.363399892752586
candida tammaniensis	0.597959152103159	0.530822860135876	0.497774929454413
trigonopsis variabilis	NA	0.477901114379636	0.44028500362645
vanderwaltozyma polyspora	NA	0.391647494460336	0.398934902394289
eremothecium sinecaudum	NA	0.273014248951183	0.267100575635915
torulaspora pretoriensis	NA	0.305270995947656	0.25383213352668
candida sojae	NA	0.369444075939939	0.366723791118438
trigonopsis vinaria	NA	0.41909829637309	0.336941625980607
botryozyma nematodophila	NA	NA	NA
lodderomyces elongisporus	NA	0.407149685693724	0.38993963848028
saprochaete clavata	NA	0.39121446063228	0.296943374644265
magnusiomyces tetrasperma	NA	0.32816038305028	0.22465356056773
