PU#	Ship	Species	Row	Col
26127	2	Nakaseomyces delphensis	F	12
34894	2	Naumovozyma baii	G	1
34871	2	Naumovozyma castellii	G	2
34872	2	Naumovozyma dairenensis	G	3
34873	2	Tetrapisispora arboricola	G	4
34874	2	Tetrapisispora blattae	G	5
34875	2	Tetrapisispora fleetii	G	6
34876	2	Tetrapisispora iriomotensis	G	7
34877	2	Tetrapisispora namnaonensis	G	8
34878	2	Tetrapisispora nanseiensis	G	9
26152	2	Torulaspora franciscae	G	10
34880	2	Torulaspora globosa	G	11
34881	2	Torulaspora pretoriensis	G	12
34869	2	Vanderwaltozyma polyspora	H	1
34868	2	Vanderwaltozyma yarrowii	H	2
34867	2	Zygosaccharomyces bailii	H	3
34866	2	Zygosaccharomyces bisporus	H	4
34865	2	Zygosaccharomyces kombuchaensis	H	5
34864	2	Zygosaccharomyces lentus	H	6
34863	2	Zygosaccharomyces rouxii	H	7
34862	2	Zygotorulaspora florentina	H	8
26256	2	Zygotorulaspora mrakii	H	9
34860	2	Trichomonascus apis	H	10
26126	2	Trichomonascus farinosus	H	11
26150	2	Trichomonascus petasosporus	H	12
35038	3	Ambrosiozyma kashinagacola 	A	1
35039	3	Ambrosiozyma llanquihuensis 	A	2
35040	3	Ambrosiozyma maleeae 	A	3
35041	3	Ambrosiozyma pseudovanderkliftii 	A	4
26145	3	Ambrosiozyma vanderkliftii 	A	5
35043	3	Babjeviella inositovora	A	6
35044	3	Barnettozyma californica 	A	7
35045	3	Barnettozyma hawaiiensis 	A	8
35046	3	Barnettozyma populi	A	9
35047	3	Barnettozyma pratensis 	A	10
35048	3	Barnettozyma salicaria 	A	11
35049	3	Barnettozyma wickerhamii 	A	12
35037	3	Candida montana 	B	1
34954	3	Candida norvegica 	B	2
35035	3	Candida atbi 	B	3
35034	3	Candida barrocoloradensis 	B	4
35033	3	Candida cretensis 	B	5
35032	3	Candida gatunensis 	B	6
35031	3	Teunomyces kruisii	B	7
35030	3	Candida lycoperdinae  	B	8
35029	3	Candida stri  	B	9
35028	3	Candida tritomae  	B	10
35027	3	Candida  ambrosiae 	B	11
35026	3	Candida  anneliseae 	B	12
35014	3	Candida atakaporum 	C	1
35015	3	Candida  bokatorum 	C	2
35016	3	Candida  bolitotheri 	C	3
35017	3	Candida  bribrorum 	C	4
35018	3	Candida canberraensis 	C	5
35019	3	Candida  caryicola 	C	6
35020	3	Candida  chickasaworum 	C	7
35021	3	Candida  choctaworum 	C	8
35022	3	Candida  emberorum 	C	9
35023	3	Candida  guaymorum 	C	10
35024	3	Candida  kunorum 	C	11
35025	3	Candida  maxii 	C	12
35013	3	Candida  panamericana 	D	1
35012	3	Candida  prunicola 	D	2
35011	3	Candida  pyralidae 	D	3
35010	3	Suhomyces tanzawaensis	D	4
35009	3	Candida  terraborum 	D	5
35008	3	Candida  vadensis  	D	6
35007	3	Candida  wounanorum 	D	7
35006	3	Candida  xylopsoci 	D	8
35005	3	Lodderomyces elongisporus	D	9
35004	3	Candida albicans 	D	10
35003	3	Candida bohiensis	D	11
35002	3	Candida buenavistaensis	D	12
34990	3	Candida corydali	E	1
34991	3	Candida dubliniensis	E	2
34992	3	Candida maltosa	E	3
34993	3	Candida metapsilosis	E	4
34994	3	Candida neerlandica 	E	5
34995	3	Candida parapsilosis	E	6
34996	3	Candida sojae	E	7
34997	3	Candida tropicalis	E	8
34998	3	Cephaloascus albidus	E	9
34999	3	Cephaloascus fragrans	E	10
35000	3	Candida akabanensis	E	11
35001	3	Candida bromeliacearum	E	12
34989	3	Candida duobushaemulonii	F	1
34988	3	Candida fructus	F	2
34987	3	Candida intermedia	F	3
34986	3	Candida oregonensis	F	4
34985	3	Candida pseudointermedia	F	5
34984	3	Candida sharkiensis	F	6
34983	3	Candida tsuchiyae	F	7
34982	3	Candida ubatubensis	F	8
34981	3	Cyberlindnera euphorbiae	F	9
34980	3	Cyberlindnera lachancei	F	10
34979	3	Cyberlindnera misumaiensis	F	11
34978	3	Cyberlindnera mrakii	F	12
34966	3	Cyberlindnera sargentensis	G	1
34967	3	Candida freyschussii 	G	2
34968	3	Candida maritima	G	3
34969	3	Candida sp. 	G	4
34970	3	Candida sp.	G	5
34971	3	Candida sp. 	G	6
34972	3	Danielozyma litseae 	G	7
34973	3	Danielozyma ontarioensis	G	8
34974	3	Deakozyma indianensis	G	9
34975	3	Dekkera bruxellensis	G	10
34976	3	Dekkera anomala	G	11
26197	3	Brettanomyces custersianus	G	12
34965	3	Brettanomyces naardenensis	H	1
34964	3	Saccharomyces mikatae	H	2
34963	3	Hanseniaspora clermontiae 	H	3
34962	3	Hanseniaspora guilliermondii 	H	4
34961	3	Hanseniaspora lachancei 	H	5
34960	3	Hanseniaspora meyeri 	H	6
34959	3	Hanseniaspora occidentalis var. occidentalis 	H	7
34958	3	Hanseniaspora opuntiae 	H	8
34957	3	Hanseniaspora osmophila 	H	9
34956	3	Hanseniaspora uvarum 	H	10
34955	3	Hanseniaspora valbyensis	H	11
26147	3	Hanseniaspora vineae 	H	12
35710	4	Botryozyma americana	A	1
35711	4	Botryozyma cognata	A	2
26049	4	Botryozyma mucatilis	A	3
35713	4	Candida chauliodes	A	4
35714	4	Candida frijolesensis	A	5
35715	4	Candida gigantensis	A	6
35716	4	Candida hyderabadensis	A	7
35717	4	Candida orthopsilosis	A	8
35718	4	Candida tetrigidarum	A	9
35719	4	Candida blankii	A	10
35720	4	Candida chilensis	A	11
35721	4	Candida asparagi	A	12
35709	4	Candida dosseyi	B	1
35708	4	New Sp.	B	2
35707	4	Candida heveicola	B	3
35706	4	Candida mogii	B	4
35705	4	Candida pseudohaemulonii	B	5
35704	4	Candida rhizophorensis	B	6
35703	4	Cyberlindnera americana	B	7
35702	4	Cyberlindnera amylophila	B	8
35701	4	Cyberlindnera fabianii	B	9
35700	4	Cyberlindnera japonica	B	10
35699	4	Cyberlindnera maclurae	B	11
35698	4	Cyberlindnera meyerae	B	12
35686	4	Cyberlindnera saturnus	C	1
35687	4	Cyberlindnera suaveolens	C	2
35688	4	Cyberlindnera xylosilytica	C	3
35689	4	Candida mycetangii 	C	4
35690	4	Candida vartiovaarae 	C	5
35691	4	Groenewaldozyma salmanticensis	C	6
35692	4	Hanseniaspora jakobsenii	C	7
35693	4	Hanseniaspora nectarophila	C	8
35694	4	Hanseniaspora occidentalis var. citrica 	C	9
35695	4	Hanseniaspora pseudoguilliermondii 	C	10
35696	4	Hanseniaspora singularis	C	11
35697	4	Hanseniaspora thailandica	C	12
35685	4	Hanseniaspora 1 sp. nov.	D	1
35684	4	Kloeckera hatyaiensis	D	2
35683	4	Nakazawaea molendini-olei	D	3
35682	4	Hyphopichia burtonii	D	4
35681	4	Candida gotoi	D	5
35680	4	Candida pseudorhagii	D	6
35679	4	Candida rhagii	D	7
35678	4	Trichomonascus ciferrii	D	8
35677	4	Kodamaea ohmeri	D	9
35676	4	Komagataella kurtzmanii	D	10
35675	4	Kregervanrija fluxuum	D	11
35674	4	Kregervanrija delftensis 	D	12
35662	4	Meyerozyma caribbica 	E	1
35663	4	Meyerozyma guilliermondii	E	2
35664	4	Candida carpophila 	E	3
35665	4	Middelhovenomyces tepae	E	4
35666	4	Nakaseomyces bacillisporus	E	5
35667	4	Kurtzmaniella cleridarum	E	6
35668	4	Nakazawaea populi	E	7
35669	4	Pachysolen tannophilus	E	8
35670	4	Phaffomyces opuntiae	E	9
35671	4	Phaffomyces antillensis 	E	10
35672	4	Phaffomyces thermotolerans 	E	11
35673	4	Candida orba 	E	12
35661	4	Pichia membranifaciens	F	1
35660	4	Priceomyces haplophilus	F	2
35659	4	Saturnispora dispora	F	3
35658	4	Starmera amethionina	F	4
35657	4	Starmerella bombicola	F	5
35656	4	Tetrapisispora pingtungensis	F	6
35655	4	Tetrapisispora taiwanensis	F	7
35654	4	Tortispora ganteri	F	8
35653	4	Torulaspora delbrueckii	F	9
35652	4	Torulaspora maleeae	F	10
35651	4	Torulaspora microellipsoides	F	11
35650	4	Trigonopsis variabilis	F	12
35638	4	Wickerhamiella domercqiae	G	1
35639	4	Wickerhamomyces canadensis	G	2
35640	4	Yamadazyma philogaea	G	3
35641	4	Yamadazyma scolyti 	G	4
35642	4	Yamadazyma triangularis 	G	5
35643	4	Yarrowia bubula 	G	6
35644	4	Yarrowia deformans 	G	7
35645	4	Yarrowia divulgata 	G	8
35646	4	Yarrowia keelungensis 	G	9
35647	4	Yarrowia lipolytica	G	10
35648	4	Yarrowia porcina 	G	11
35649	4	Yarrowia yakushimensis 	G	12
35637	4	Yarrowia yakushimensis 	H	1
35636	4	Candida alimentaria 	H	2
35635	4	Candida galli	H	3
35634	4	Candida galli 	H	4
35633	4	Candida hispaniensis 	H	5
35632	4	Candida hollandica 	H	6
35631	4	Candida oslonensis 	H	7
35630	4	Candida phangngaensis 	H	8
35629	4	Yueomyces sinensis	H	9
35628	4	Zygosaccharomyces mellis	H	10
35627	4	Zygosaccharomyces pseudobailii 	H	11
35626	4	Zygosaccharomyces siamensis 	H	12
34654	5	Aciculoconidium aculeatum	A	1
34655	5	Botryozyma nematodophila	A	2
34656	5	Candida glaebosa	A	3
34657	5	Candida pseudoglaebosa	A	4
34658	5	Clavispora lusitaniae	A	5
34659	5	Debaryomyces hansenii	A	6
34660	5	Diddensiella caesifluorescens      	A	7
34661	5	Dipodascus albidus	A	8
34662	5	Galactomyces geotrichum	A	9
34663	5	Kloeckera lindneri 	A	10
34664	5	Kodamaea anthophila 	A	11
34665	5	Kodamaea laetipori 	A	12
26273	5	Kodamaea nitidulidarum 	B	1
34652	5	Candida derodonti	B	2
34651	5	Candida leandrae	B	3
34650	5	Candida mesenterica	B	4
34649	5	Candida plutei	B	5
34648	5	Candida restingae	B	6
34647	5	Candida savonica	B	7
34646	5	Wickerhamiella cacticola 	B	8
34645	5	Candida boleticola 	B	9
34644	5	Candida quercitrusa 	B	10
34643	5	Candida schatavii 	B	11
34642	5	Candida zeylanoides 	B	12
34630	5	Magnusiomyces magnusii	C	1
34631	5	Martiniozyma  abiesophila	C	2
34632	5	Candida athensensis 	C	3
34633	5	Candida smithsonii 	C	4
34634	5	Millerozyma acaciae 	C	5
34635	5	Nadsonia fulvescens	C	6
34636	5	Ogataea nitratoaversa	C	7
34637	5	Ogataea populiabae	C	8
34638	5	Ogataea wickerhamii 	C	9
34639	5	Candida cariosilignicola 	C	10
34640	5	Pichia deserticola 	C	11
34641	5	Pichia eremophila 	C	12
34629	5	Pichia exigua 	D	1
34628	5	Pichia fermentans 	D	2
34627	5	Pichia heedii 	D	3
34626	5	Pichia kluyveri 	D	4
34625	5	Pichia kudriavzevii 	D	5
34624	5	Pichia nakasei 	D	6
34623	5	Pichia norvegensis 	D	7
34622	5	Pichia occidentalis 	D	8
34621	5	Pichia sp. 	D	9
34620	5	Pichia sp. 	D	10
34619	5	Candida ethanolica 	D	11
34618	5	Candida rugopelliculosa 	D	12
34606	5	Priceomyces medius 	E	1
34607	5	Saccharomycopsis capsularis	E	2
34608	5	Saturnispora besseyi 	E	3
34609	5	Saturnispora gosingensis 	E	4
34610	5	Saturnispora hagleri 	E	5
34611	5	Saturnispora mendoncae 	E	6
34612	5	Saturnispora saitoi 	E	7
34613	5	Saturnispora serradocipensis 	E	8
34614	5	Saturnispora silvae 	E	9
34615	5	Saturnispora zaruensis 	E	10
34616	5	Scheffersomyces stipitis	E	11
34617	5	Spathaspora passalidarum	E	12
34605	5	Spencermartinsiella europaea.	F	1
34604	5	Sporopachydermia lactativora	F	2
34603	5	Sporopachydermia quercuum 	F	3
34602	5	Starmera pachycereana 	F	4
34601	5	Starmera dryadoides 	F	5
34594	5	Starmera quercuum 	F	6
34599	5	Candida berthetii 	F	7
34598	5	Candida dendrica 	F	8
34597	5	Candida stellimalicola 	F	9
34596	5	Candida sp. 	F	10
34595	5	Candida apis 	F	11
26296	5	Candida bombi 	F	12
34582	5	Candida cellae 	G	1
34583	5	Candida etchellsii 	G	2
34584	5	Candida floricola 	G	3
34585	5	Candida floris 	G	4
34586	5	Candida geochares 	G	5
34587	5	Candida gropengiesseri 	G	6
34588	5	Candida kuoi	G	7
34589	5	Wickerhamiella australiensis 	G	8
34590	5	Candida magnoliae 	G	9
34591	5	Candida stellata 	G	10
34592	5	Metschnikowia bicuspidata var. bicuspidata	G	11
26282	5	Saccharomycodes ludwigii	G	12
34581	5	Schwanniomyces occidentalis var. occidentalis	H	1
34580	5	Tetrapisispora phaffii	H	2
34579	5	Wickerhamia fluorescens 	H	3
34578	5	Zygoascus hellenicus	H	4
34577	5	Sugiyamaella grinbergsii	H	5
34576	5	Sugiyamaella neomexicana	H	6
34575	5	Sugiyamaella paludigena	H	7
34574	5	Sugiyamaella smithiae	H	8
34573	5	Sugiyamaella valdiviana	H	9
34572	5	Tortispora caseinolytica 	H	10
34571	5	Tortispora mauiana 	H	11
26257	5	Vanderwaltozyma tropicalis	H	12
26130	6	Galactomyces reessii	A	1
35327	6	Candida fluviatilis 	A	2
35328	6	Candida palmioleophila	A	3
35329	6	Candida saitoana	A	4
35330	6	Candida entomophila	A	5
35331	6	Candida ghanaensis	A	6
35332	6	Candida insectalens	A	7
35333	6	Candida silvanorum	A	8
35334	6	Clavispora opuntiae 	A	9
35335	6	Candida blattae	A	10
35336	6	Cyberlindnera jadinii	A	11
35337	6	Cyberlindnera mississippiensis	A	12
35325	6	Cyberlindnera petersonii	B	1
35324	6	Cyberlindnera subsufficiens	B	2
35323	6	Diddensiella santjacobensis	B	3
35322	6	Diddensiella transvaalensis 	B	4
26204	6	Galactomyces citri-aurantii	B	5
35320	6	Candida auringiensis	B	6
35319	6	Candida tartarivorans	B	7
35318	6	Hyphopichia heimii 	B	8
35317	6	Candida fennica 	B	9
35316	6	Candida homilentoma	B	10
35315	6	Candida arcana	B	11
35314	6	Candida anglica 	B	12
35302	6	Candida fragi 	C	1
35303	6	Candida natalensis 	C	2
35304	6	Candida santamariae 	C	3
35305	6	Metschnikowia corniflorae	C	4
35306	6	Candida elateridarum 	C	5
35307	6	Millerozyma farinosa	C	6
35308	6	Nadsonia starkeyi-henricii 	C	7
35309	6	Pichia scutulata 	C	8
35310	6	Ogataea siamensis	C	9
35311	6	Pichia manshurica 	C	10
26208	6	Pichia pseudocactophila 	C	11
35313	6	Pichia sporocuriosa 	C	12
35301	6	Pichia terricola 	D	1
35300	6	Pichia sp. 	D	2
35299	6	Pichia sp. 	D	3
35298	6	Candida californica 	D	4
35297	6	Priceomyces castillae 	D	5
35296	6	Priceomyces carsonii 	D	6
35295	6	Priceomyces melissophilus 	D	7
35294	6	Candida fermenticarens 	D	8
35293	6	Saturnispora diversa 	D	9
35292	6	Sporopachydermia cereana 	D	10
35291	6	Candida riodocensis 	D	11
35290	6	Candida vaccinii 	D	12
35278	6	Tortispora phaffii 	E	1
35279	6	Tortispora starmeri 	E	2
35280	6	Trigonopsis californica 	E	3
35281	6	Trigonopsis cantarellii 	E	4
35282	6	Trigonopsis vinaria 	E	5
35283	6	Wickerhamiella lipophila 	E	6
35284	6	Wickerhamiella occidentalis 	E	7
35285	6	Candida alocasiicola	E	8
35286	6	Candida azyma 	E	9
35287	6	Candida bombiphila 	E	10
35288	6	Candida drosophilae 	E	11
35289	6	Candida infanticola	E	12
35277	6	Candida pararugosa 	F	1
35276	6	Candida spandovensis 	F	2
35275	6	Candida vanderwaltii 	F	3
35274	6	Wickerhamomyces alni	F	4
35273	6	Wickerhamomyces anomalus	F	5
35272	6	Wickerhamomyces bisporus	F	6
35271	6	Wickerhamomyces bovis	F	7
35270	6	Wickerhamomyces chambardii	F	8
35269	6	Wickerhamomyces ciferrii	F	9
35268	6	Wickerhamomyces hampshirensis	F	10
35267	6	Wickerhamomyces lynferdii	F	11
35266	6	Wickerhamomyces onychis	F	12
35254	6	Wickerhamomyces pijperi	G	1
35255	6	Wickerhamomyces rabaulensis	G	2
26170	6	Wickerhamomyces silvicola	G	3
35257	6	Wickerhamomyces strasburgensis	G	4
35258	6	Wickerhamomyces subpelliculosus	G	5
35259	6	Wickerhamomyces sydowiorum	G	6
35260	6	Candida peoriensis 	G	7
35261	6	Candida ponderosae 	G	8
35262	6	Candida silvicultrix 	G	9
35263	6	Candida solani 	G	10
26157	6	Candida sp. 	G	11
35265	6	Candida sp. 	G	12
35253	6	Candida sp. 	H	1
35252	6	Yamadazyma nakazawae 	H	2
35251	6	Candida aaseri 	H	3
35250	6	Candida atlantica	H	4
35249	6	Candida atmosphaerica	H	5
35248	6	Candida cerambycidarum	H	6
35247	6	Candida germanica	H	7
35246	6	Candida insectorum	H	8
35245	6	Candida spencermartinsiae	H	9
35244	6	Candida incommunis	H	10
35243	6	Zygoascus meyerae 	H	11
35242	6	Zygoascus ofunaensis 	H	12
41854	7	Candida aechmeae 	A	1
41855	7	Candida ascalaphidarum	A	2
41856	7	Candida bentonensis	A	3
41857	7	Candida chrysomelidarum	A	4
41858	7	Candida endomychidarum	A	5
41859	7	Candida friederichii	A	6
41860	7	Candida galacta 	A	7
41861	7	Candida gelsemii	A	8
41862	7	Candida golubevii	A	9
41863	7	Candida gorgasii	A	10
41864	7	Candida hainanensis	A	11
41743	7	Candida hawaiiana	A	12
41853	7	Candida heliconiae	B	1
41701	7	Candida jeffriesii	B	2
41851	7	Candida krabiensis	B	3
41850	7	Candida lyxosophila	B	4
41849	7	Candida morakotiae	B	5
41848	7	Candida musae	B	6
41847	7	Candida ortonii	B	7
41846	7	Candida picinguabensis	B	8
41845	7	Candida psychrophila	B	9
41844	7	Candida rancensis	B	10
41843	7	Candida ruelliae	B	11
41842	7	Candida saopaulonensis	B	12
41830	7	Candida silvatica	C	1
41831	7	Candida sinolaborantium	C	2
41832	7	Candida sophiae-reginae	C	3
41833	7	Candida tammaniensis	C	4
41834	7	Candida taylori	C	5
41835	7	Candida temnochilae	C	6
41836	7	Candida tenuis	C	7
41837	7	Candida tocantinensis	C	8
41838	7	Candida tolerans	C	9
41839	7	Candida torresii	C	10
41840	7	Candida wancherniae	C	11
41841	7	Debaryomyces coudertii	C	12
41829	7	Debaryomyces fabryi	D	1
41713	7	Debaryomyces maramus	D	2
41693	7	Debaryomyces nepalensis	D	3
41678	7	Debaryomyces prosopidis	D	4
41825	7	Debaryomyces robertsiae	D	5
41824	7	Debaryomyces subglobosus	D	6
41823	7	Dipodascus armillariae	D	7
41822	7	Dipodascus geniculatus	D	8
41821	7	Geotrichum cucujoidarum	D	9
41820	7	Geotrichum histeridarum	D	10
41819	7	Magnusiomyces starmeri	D	11
41818	7	Magnusiomyces tetrasperma	D	12
41806	7	Metschnikowia agaves	E	1
41807	7	Metschnikowia bicuspidata var. chathamia	E	2
41808	7	Metschnikowia caudata 	E	3
41809	7	Metschnikowia chrysoperlae	E	4
41810	7	Metschnikowia drosophilae	E	5
41811	7	Metschnikowia krissii	E	6
41812	7	Metschnikowia kunwiensis	E	7
41813	7	Metschnikowia lunata	E	8
41814	7	Metschnikowia noctiluminum	E	9
41815	7	Metschnikowia orientalis	E	10
41732	7	Metschnikowia pulcherrima	E	11
41817	7	Metschnikowia shanxiensis	E	12
41805	7	Metschnikowia sinensis	F	1
41804	7	Metschnikowia vanudenii	F	2
41803	7	Metschnikowia zizyphicola	F	3
41802	7	Ogataea polymorpha 	F	4
41801	7	Ogataea saltuana	F	5
41800	7	Ogataea thermomethanolica	F	6
41799	7	Saccharomycopsis amapae 	F	7
41691	7	Saccharomycopsis crataegensis 	F	8
41797	7	Saccharomycopsis fermentans 	F	9
41796	7	Saccharomycopsis fibuligera 	F	10
41733	7	Saccharomycopsis javanensis 	F	11
41794	7	Saccharomycopsis lassenensis 	F	12
41719	7	Saccharomycopsis microspora 	G	1
41783	7	Saccharomycopsis schoenii 	G	2
41784	7	Saccharomycopsis selenospora 	G	3
41785	7	Saccharomycopsis sp. 	G	4
41786	7	Saccharomycopsis synnaedendra 	G	5
41787	7	Saccharomycopsis vini 	G	6
41788	7	Scheffersomyces coipomoensis	G	7
41789	7	Scheffersomyces ergatensis	G	8
41790	7	Scheffersomyces segobiensis	G	9
41791	7	Scheffersomyces shehatae	G	10
41792	7	Schwanniomyces capriottii	G	11
41793	7	Schwanniomyces etchellsii	G	12
41781	7	Schwanniomyces occidentalis var. persoonii	H	1
41780	7	Schwanniomyces polymorphus var. polymorphus	H	2
41779	7	Schwanniomyces pseudopolymorphus	H	3
41778	7	Schwanniomyces vanrijiae var. yarrowii	H	4
41742	7	Spathaspora arborariae	H	5
41776	7	Spencermartinsiella ligniputridi	H	6
41775	7	Sugiyamaella americana	H	7
41774	7	Sugiyamaella boreocaroliniensis	H	8
41773	7	Sugiyamaella castrensis	H	9
41772	7	Sugiyamaella chiloensis	H	10
41771	7	Sugiyamaella japonica	H	11
41770	7	Sugiyamaella novakii	H	12
37918	8	Alloascoidea africana 	A	1
26117	8	Alloascoidea hylecoeti	A	2
37920	8	Ambrosiozyma kamigamensis 	A	3
37921	8	Ascoidea asiatica 	A	4
37922	8	Ascoidea rubescens	A	5
