all_taxa	xyl1	xyl2	xyl3	tkl1	tal1
metschnikowia hibisci	0.966804979253112	0.951244813278008	0.784797017398509	0.972659486329743	0.977009113504557
metschnikowia shivogae	0.980839612486545	0.939345991561181	0.803621659634318	0.970815752461322	0.977825618945102
tortispora ganteri	0.957356895889358	0.933922397233961	0.865155589704187	0.953131002689205	0.981876332622601
metschnikowia ipomoeae	0.969219494320264	0.95071454745328	0.790582631000366	0.961157933308904	0.952729937706119
metschnikowia borealis	0.977917981072555	0.928584474885845	0.817351598173516	0.970228310502283	0.949771689497717
metschnikowia continentalis	0.966804979253112	0.951244813278008	0.705912863070539	0.961904761904762	0.978111946532999
metschnikowia santaceciliae	0.973277074542897	0.939345991561181	0.803621659634318	0.970815752461322	0.959388185654008
metschnikowia kamakouana	0.957356895889358	0.933922397233961	0.865155589704187	0.953131002689205	0.9527468305801
spencermartinsiella europaea	NA	NA	NA	NA	NA
metschnikowia mauinuiana	0.965479452054795	0.928584474885845	0.847765101926314	0.970228310502283	0.949771689497717
saccharomycopsis capsularis	0.960066833751044	0.773827372028272	0.63568215892054	0.961904761904762	0.98672092525166
ogataea naganishii	0.967342582710779	0.927474236826755	0.776734258271078	0.940307213688509	0.968623265741729
ogataea methylivora	0.951601671309192	0.746518105849582	0.661515453639083	0.922179665738162	0.958624127617149
blastobotrys muscicola	0.946749324431728	0.905539906103286	0.68018779342723	0.959783818152917	0.991893180734382
ogataea ramenticola	0.944186944766319	0.914059482425647	0.847765101926314	0.914252607184241	0.969293163383546
pichia membranifaciens	0.652442556478085	0.899594516315891	0.63568215892054	0.875776397515528	0.98672092525166
pichia heedii	0.967342582710779	0.854855923159018	0.776734258271078	0.9688839202534	0.968623265741729
pichia nakasei	0.967625899280576	NA	0.689709102283391	0.991867375664686	0.995933687832343
kregervanrija fluxuum	0.952919020715631	0.930696798493409	0.732015065913371	0.95969868173258	0.988700564971751
kregervanrija delftensis	0.969910493239383	0.933917349076366	0.863264140163778	0.951628261283565	0.97276709198248
ogataea populiabae	0.971385256774683	0.94201250710631	0.758953951108584	0.941823005495547	0.973469774493083
ogataea trehaloabstinens	0.978723404255319	0.956886898096305	0.890444195595371	0.9688839202534	0.983575961179545
blastobotrys nivea	0.973864937046929	0.650515070583747	0.689709102283391	0.991867375664686	0.995933687832343
ogataea trehalophila	0.952919020715631	0.930696798493409	0.732015065913371	0.95969868173258	0.988700564971751
candida arabinofermentans	0.969910493239383	0.933917349076366	0.863264140163778	0.951628261283565	0.97276709198248
ogataea pilisensis	0.977454545454545	0.94201250710631	0.758953951108584	0.941823005495547	0.985018181818182
ogataea nitratoaversa	0.978723404255319	0.956886898096305	0.890444195595371	0.978692668833514	0.983575961179545
ogataea zsoltii	0.973864937046929	0.650515070583747	0.639450591377337	0.976726440289966	0.8893547635686
ogataea pini	0.939164237123421	0.834596695821186	0.521671525753158	0.966190476190476	0.895238095238095
ogataea henricii	0.953083109919571	0.875526618153964	0.432094288304624	0.903293757181157	0.847144152311877
blastobotrys proliferans	0.977454545454545	0.905745454545455	0.451303766436372	0.911745041230221	0.985018181818182
ogataea glucozyma	0.957385337667028	0.777175875767425	0.755146262188516	0.978692668833514	0.920368364030336
ogataea kodamae	0.940368098159509	0.365711623573259	0.522944785276074	0.974723926380368	0.8893547635686
ogataea minuta	0.816190476190476	0.898178506375228	0.554644808743169	0.966190476190476	0.895238095238095
ogataea nonfermentans	0.848594741613781	0.925338310779281	0.901695442526054	0.970757505055219	0.847144152311877
ogataea philodendra	0.974722328609728	0.847567981616239	0.451303766436372	0.933358866334738	0.98295672156262
ogataea parapolymorpha	0.927786106946527	NA	0.782051282051282	0.968864468864469	0.987845487845488
ogataea polymorpha	0.940368098159509	NA	0.571009174311927	0.974723926380368	0.967339449541284
ambrosiozyma pseudovanderkliftii	0.950839964633068	0.933333333333333	0.858885941644562	0.962864721485411	0.990981432360743
ambrosiozyma philentoma	0.889729299363057	0.925338310779281	0.901695442526054	0.970757505055219	0.659832802547771
deakozyma indianensis	0.974722328609728	0.847567981616239	0.155878973573344	0.933358866334738	0.98295672156262
ambrosiozyma oregonensis	0.960484023444886	0.905594405594406	0.782051282051282	0.968864468864469	0.993193420306296
ambrosiozyma vanderkliftii	0.916697247706422	0.928440366972477	0.571009174311927	0.944587155963303	0.986246103062534
ambrosiozyma ambrosiae	0.950839964633068	0.933333333333333	0.858885941644562	0.975331201461855	0.990981432360743
ambrosiozyma maleeae	0.889729299363057	0.704020700636943	0.135350318471338	0.962579617834395	0.991084695393759
hanseniaspora singularis	0.866991473812424	NA	NA	0.959038508707383	0.973755212165808
candida incommunis	0.960484023444886	0.789941387785971	0.576668557383248	0.970080197409007	0.993193420306296
lipomyces oligophaga	0.906970912738215	0.860260407115349	0.258756647716853	0.964142427281846	0.986246103062534
hanseniaspora valbyensis	0.929790866410585	NA	NA	0.975331201461855	0.96345363179534
kloeckera hatyaiensis	0.928793210515421	NA	NA	0.957404655770183	0.991084695393759
hanseniaspora pseudoguilliermondii	0.922858302882663	NA	NA	0.959038508707383	0.983962647178238
hanseniaspora uvarum	0.918260333127699	NA	NA	0.970080197409007	0.975015422578655
hanseniaspora clermontiae	0.937346711259755	NA	NA	0.964142427281846	0.9839518555667
pichia kudriavzevii	0.929790866410585	0.82202304737516	0.57063593683312	0.912291933418694	0.963081519419548
pichia terricola	0.928793210515421	0.596149865452287	0.436141585593045	0.940178016973711	0.647898985717243
pichia occidentalis	0.922858302882663	0.738937069157216	0.274627529464087	0.944185012230376	0.983962647178238
middelhovenomyces tepae	NA	NA	NA	NA	NA
pichia exigua	0.937346711259755	0.701672240802676	0.60958751393534	0.966845878136201	0.963933691756272
pichia norvegensis	0.919507367495052	0.799428194413899	0.461623048163624	0.896635144051023	0.977124183006536
martiniozyma abiesophila	NA	NA	NA	NA	NA
saturnispora saitoi	0.967117117117117	0.941441441441441	0.406306306306306	0.944185012230376	0.985135135135135
saturnispora zaruensis	0.840018441678193	0.504610419548179	0.304300842878755	0.946288612263716	0.980866758875058
saturnispora dispora	0.81429211469534	0.713781749764817	0.430150517403575	0.966845878136201	0.963933691756272
saturnispora serradocipensis	0.884749455337691	0.624088273798392	0.426594351973069	0.862745098039216	0.977124183006536
saturnispora hagleri	0.882944575219345	0.710678365075968	0.60539268136101	0.93744769874477	0.876524716456238
geotrichum candidum	0.967117117117117	0.941441441441441	0.535485297369003	0.956887021888127	0.985135135135135
saturnispora silvae	0.840018441678193	0.860167022722859	NA	0.946288612263716	0.980866758875058
saturnispora mendoncae	0.965215738452766	0.713781749764817	0.669074320471393	0.962605832549388	0.960253998118532
priceomyces carsonii	0.941799754299754	0.949324324324324	0.583538083538084	0.831695331695332	0.983568796068796
brettanomyces custersianus	0.933507657825925	0.532312289876728	0.550803137840867	0.93744769874477	0.901195367949197
brettanomyces anomalus	0.929699248120301	0.783108556267964	0.737781954887218	0.956887021888127	0.968383816051293
dekkera bruxellensis	0.75393280248592	0.860167022722859	0.390291262135922	0.955771305285868	0.899397941347835
kuraishia ogatae	0.965215738452766	0.699676867515681	0.669074320471393	0.954525768731052	0.958856647899524
dipodascus albidus	0.962869729389553	0.949324324324324	0.727029578351164	0.831695331695332	0.985840151038389
kuraishia capsulata	0.933507657825925	0.657384158867838	0.550803137840867	0.966674275279617	0.958000456516777
kuraishia molischiana	0.945406125166445	NA	0.737781954887218	0.950375939849624	0.988348868175766
komagataella pastoris	0.906215921483097	0.71475307680324	0.658202212182583	0.955771305285868	0.988939087085216
komagataella populi	0.827955801104972	0.880441988950276	0.575580110497238	0.954525768731052	0.958856647899524
dipodascus geniculatus	0.962869729389553	0.931732933233308	0.732558139534884	0.946549137284321	0.985840151038389
komagataella pseudopastoris	0.940163654960791	0.847937265598363	0.339754517558814	0.966674275279617	0.982270712580975
citeromyces hawaiiensis	0.945406125166445	0.862849533954727	0.621171770972037	0.961244444444444	0.988348868175766
citeromyces matritensis	0.983851571894863	0.979728568974403	0.694725992097578	0.977323483937468	0.988939087085216
citeromyces siamensis	0.974982381959126	0.880441988950276	0.813248766737139	0.966878083157153	0.994009866102889
pachysolen tannophilus	0.955926481620405	0.931732933233308	0.732558139534884	0.946549137284321	0.971867966991748
peterozyma toletana	0.940163654960791	0.847937265598363	0.567976327469998	0.963340457011343	0.987177379582443
peterozyma xylosa	0.875632975491189	0.748977777777778	0.386469515900344	0.961244444444444	0.992100465869961
blastobotrys mokoenaii	0.983851571894863	0.979728568974403	0.694725992097578	0.977323483937468	0.980742778541953
nakazawaea holstii	0.974982381959126	0.79369274136716	0.813248766737139	0.966878083157153	0.994009866102889
ascoidea rubescens	0.895362663495838	0.54153218957024	0.724307796840496	0.968914557499575	0.995073891625616
candida ponderosae	0.92327506899724	0.823113595265494	0.75933762649494	0.963340457011343	0.999264029438822
candida stellimalicola	0.977199281867145	0.843806104129264	0.541831238779174	0.894075403949731	0.992100465869961
starmera amethionina	0.966639806607575	0.897663174858985	0.520547945205479	0.829814665592264	0.980742778541953
starmera quercuum	0.966790352504638	0.859750587384782	0.641062714621363	0.965660581962769	0.986456400742115
wickerhamomyces anomalus	0.94335589597435	0.861239757748486	0.724307796840496	0.968914557499575	0.995073891625616
wickerhamomyces ciferrii	0.970040189989039	0.823164048227987	0.75933762649494	0.952868103763244	0.999264029438822
wickerhamomyces alni	0.977199281867145	0.849418084153984	0.541831238779174	0.948612354521039	0.996777081468218
blastobotrys serpentis	0.966639806607575	0.897663174858985	0.520547945205479	0.829814665592264	0.983755559853027
candida azyma	0.951201879631303	0.859750587384782	0.641062714621363	0.965660581962769	0.991815759421393
wickerhamomyces canadensis	0.94335589597435	0.861239757748486	0.399358745992162	0.964374777342358	0.983101207056639
wickerhamomyces bovis	0.970040189989039	0.823164048227987	0.316770186335404	0.963172288058341	0.985961713764813
candida montana	0.961411850768105	0.849418084153984	0.429407461594733	0.963240673006584	0.996777081468218
phaffomyces thermotolerans	0.949685534591195	0.575185820468839	0.297041191258944	0.944349151896322	0.985896702877835
candida orba	0.924839596700275	0.729789184234647	0.23658165207461	0.965536205316224	0.991934005499542
phaffomyces antillensis	0.92328969205237	NA	0.547851742577909	0.963602599814299	0.995205605753273
phaffomyces opuntiae	0.763954402515723	0.826454402515723	0.320361635220126	0.963172288058341	0.98624213836478
barnettozyma pratensis	0.961411850768105	0.858169440242057	0.429407461594733	0.963240673006584	0.995427944403804
barnettozyma salicaria	0.964495917979875	0.831213214353522	0.665654072527055	0.973799126637555	0.991076514144674
blastobotrys americana	0.982541222114452	0.819592628516004	0.641771742644682	0.965536205316224	0.991934005499542
barnettozyma californica	0.92328969205237	NA	0.656615497076023	0.946524064171123	0.995205605753273
barnettozyma hawaiiensis	0.968265682656827	0.826454402515723	0.678044280442804	0.939465408805031	0.990405904059041
barnettozyma populi	0.933055975794251	0.8776217399234	0.59875980302754	0.963341236549334	0.991428050337407
candida freyschussii	0.979869631901841	0.831213214353522	0.665654072527055	0.973799126637555	0.991076514144674
cyberlindnera xylosilytica	0.982541222114452	0.821968424588512	0.641771742644682	0.719684245885119	0.998656365468592
candida mycetangii	0.911184210526316	0.471673976608187	0.656615497076023	0.96748431260696	0.98687963491158
cyberlindnera petersonii	0.968265682656827	0.821586715867159	0.678044280442804	0.96709323583181	0.990405904059041
cyberlindnera americana	0.969645550527903	0.8776217399234	0.59875980302754	0.969457013574661	0.991428050337407
cyberlindnera maclurae	0.979869631901841	0.888196546199039	0.583585543884636	0.964340490797546	0.984087423312883
blastobotrys peoriensis	0.968928451461203	0.821968424588512	0.640502092050209	0.964016736401674	0.998656365468592
cyberlindnera misumaiensis	0.948741170077884	NA	0.663104510052527	0.96748431260696	0.98687963491158
cyberlindnera jadinii	0.936414114275479	NA	0.459963436928702	0.96709323583181	0.985849901486656
candida vartiovaarae	0.996302816901408	NA	0.528846153846154	0.969457013574661	0.99137323943662
cyberlindnera mrakii	0.995472837022133	0.942488262910798	0.583585543884636	0.961367277906356	0.991616364855802
cyberlindnera saturnus	0.979073756432247	NA	0.640502092050209	0.984219554030875	0.990909090909091
cyberlindnera suaveolens	0.948741170077884	0.880999818873393	0.663104510052527	0.907815631262525	0.985509871400109
wickerhamomyces hampshirensis	0.936414114275479	0.882321332616873	0.204907755686907	0.960068593826556	0.985849901486656
arxula adeninivorans	0.996302816901408	0.54612676056338	0.491977289558134	0.902493211552703	0.99137323943662
blastobotrys raffinofermentans	0.995472837022133	0.942488262910798	0.386150234741784	0.883981857245166	0.991616364855802
lipomyces suomiensis	0.979073756432247	0.918867924528302	0.621783876500858	0.984219554030875	0.990909090909091
eremothecium cymbalariae	0.983415508740475	NA	0.921559838637382	0.967055132227701	0.992828328103989
eremothecium coryli	0.939317319848293	NA	NA	0.961441213653603	0.987147071217868
ashbya aceri	0.924833082059014	NA	0.646780099073875	0.953478354512169	0.988154210639673
eremothecium gossypii	0.945715567519067	0.503938887562664	0.784208165096456	0.912516823687752	0.995737999102737
kluyveromyces aestuarii	0.992645706931421	0.982165839308696	0.754550468836183	0.944334867411791	0.996506710792425
kluyveromyces marxianus	0.983415508740475	0.758628417749888	0.921559838637382	0.967055132227701	0.992828328103989
kluyveromyces lactis	0.939317319848293	0.818162663295407	0.721181397399162	0.966718095657924	0.987147071217868
kluyveromyces dobzhanskii	0.924833082059014	0.760284298944648	0.78041958041958	0.978741258741259	0.989090909090909
nakaseomyces castellii	0.945715567519067	NA	0.784208165096456	0.939759036144578	0.995737999102737
sugiyamaella lignohabitans	0.992645706931421	0.982165839308696	0.754550468836183	0.927927927927928	0.996506710792425
nakaseomyces bacillisporus	0.944710491946017	NA	0.515490705576654	0.967419548271037	0.989986939486286
hanseniaspora osmophila	0.974508375819374	NA	0.722019907744598	0.966718095657924	0.995144452537024
hanseniaspora vinae	0.967894027840144	NA	0.78041958041958	0.978741258741259	0.989090909090909
zygotorulaspora mrakii	0.945560017849174	0.899375278893351	0.682921245421245	0.939759036144578	0.995421245421245
zygotorulaspora florentina	0.926261026916987	0.956344718389505	0.637864736484958	0.92060619769283	0.990996784565916
torulaspora microellipsoides	0.949881796690307	NA	0.653900709219858	0.967419548271037	0.985208874675195
torulaspora maleeae	0.974508375819374	0.877475817595578	0.761860893597421	0.976047904191617	0.995144452537024
zygosaccharomyces rouxii	0.967894027840144	0.848822539949537	0.550516389762012	0.965424337674001	0.994533221194281
zygosaccharomyces bailii	0.917811355311355	NA	0.682921245421245	0.961751662971175	0.995421245421245
zygosaccharomyces bisporus	0.926261026916987	0.956344718389505	0.637864736484958	0.977801494130203	0.986339381003202
zygosaccharomyces kombuchaensis	0.949881796690307	NA	0.653900709219858	0.945671378091873	0.980851063829787
torulaspora delbrueckii	0.893823173193379	0.877475817595578	0.761860893597421	0.976047904191617	0.992531287848203
torulaspora franciscae	0.94259882253995	0.848822539949537	0.478973927670311	0.964950237992211	0.994533221194281
torulaspora pretoriensis	0.816353591160221	NA	0.523314917127072	0.961751662971175	0.992486187845304
lachancea fermentati	0.975389069851611	0.708288092652913	0.583991462113127	0.977801494130203	0.992037640246109
lachancea cidri	0.88339222614841	0.83378196500673	0.551457597173145	0.945671378091873	0.985868102288022
lachancea kluyveri	0.921012767799178	0.869508764336724	0.657866262713698	0.956286518069682	0.992531287848203
lachancea mirantina	0.926438771094764	NA	0.32032590051458	0.964950237992211	0.987234963219386
lachancea waltii	0.816353591160221	NA	0.523314917127072	0.961778147071043	0.992486187845304
candida salmanticensis	0.975389069851611	0.708288092652913	0.416490038151759	0.958456973293769	0.992037640246109
lachancea quebecensis	0.86790293040293	0.83378196500673	0.512561686855092	0.961767399267399	0.986721611721612
lachancea thermotolerans	0.921012767799178	0.909493670886076	0.657866262713698	0.967510548523207	0.990911058212508
lachancea dasiensis	0.945529290853032	0.702830188679245	0.32032590051458	0.979650565262076	0.991161356628983
lachancea nothofagi	0.93061961098857	0.785625259659327	0.242430318828955	0.976137958692601	0.986966111890916
lachancea meyersii	0.932598558711318	0.669987282746927	0.432726511822557	0.973843900397573	0.995396526469973
lachancea lanzarotensis	0.948998801985282	0.746565934065934	0.347298534798535	0.961767399267399	0.991956186890296
lachancea fantastica	0.965524275805794	0.909493670886076	0.420032639738882	0.976948184414525	0.990208078335373
candida glabrata	0.945529290853032	NA	0.696207506386323	0.979650565262076	0.991161356628983
nakaseomyces bracarensis	0.948619139370585	NA	0.513166345536288	0.979019481909655	0.986966111890916
nakaseomyces delphensis	0.889098137685708	NA	0.61711139347734	0.973843900397573	0.995396526469973
diddensiella caesifluorescens	0.948998801985282	0.631011466712305	0.622849861966447	0.921427054576343	0.991956186890296
nakaseomyces nivariensis	0.965524275805794	NA	0.420032639738882	0.976948184414525	0.990208078335373
kazachstania martiniae	0.905875417567302	NA	0.696207506386323	0.757880910683012	0.987030850854785
kazachstania intestinalis	0.948619139370585	NA	0.714391143911439	0.979019481909655	0.977121771217712
saccharomyces eubayanus	0.80283778060144	NA	0.61711139347734	0.954680220245659	0.97437526471834
saccharomyces uvarum	0.904982618771727	NA	0.622849861966447	0.96852066434917	0.989764387794515
saccharomyces kudriavzevii	0.984754376058724	NA	0.450781102955016	0.934876717485413	0.976472802559759
saccharomyces mikatae	0.79246935201401	NA	0.467791726692735	0.963161144268368	0.971103327495622
saccharomyces arboricola	0.912421630094044	NA	0.714391143911439	0.970415360501567	0.990791536050157
saccharomyces paradoxus	0.906151990349819	NA	0.354402895054282	0.804831532104259	0.98745476477684
kazachstania viticola	0.904982618771727	NA	0.429316338354577	0.96852066434917	0.989764387794515
zygoascus ofunaensis	0.984754376058724	0.0478072651985695	0.450781102955016	0.96976506639428	0.976472802559759
kazachstania africana	0.894944707740916	NA	0.467791726692735	0.963161144268368	0.968009478672986
tetrapisispora iriomotensis	0.912421630094044	NA	0.57641065830721	0.970415360501567	0.990791536050157
tetrapisispora phaffii	0.954476766150359	NA	0.527767283717416	0.965243672081602	0.993577635058557
tetrapisispora namnaonensis	0.857373411337503	NA	NA	0.614262884538554	0.987492434940488
tetrapisispora fleetii	0.852502553626149	NA	NA	0.96976506639428	0.96533633127225
tetrapisispora blattae	0.89548829240434	NA	NA	0.954778830963665	0.975632971635256
yueomyces sinensis	0.829727564102564	NA	NA	0.967774831735672	0.975761217948718
zygoascus meyerae	0.954476766150359	0.930676237249717	0.527767283717416	0.965243672081602	0.993577635058557
kazachstania rosinii	0.938714153561517	NA	0.638894492636675	0.834643848288622	0.987492434940488
kazachstania spencerorum	0.872646498836471	NA	0.336154008885128	0.964036386714618	0.982018193357309
kazachstania turicensis	0.89548829240434	0.284599276603845	0.3003314001657	0.971830985915493	0.987158243579122
kazachstania kunashirensis	0.883850069412309	NA	0.510911686722415	0.967774831735672	0.975474317445627
naumovozyma castellii	0.934971098265896	0.767308073794882	0.262646300337235	0.974814203137903	0.983691164327002
naumovozyma dairenensis	0.938714153561517	NA	0.481345565749235	0.834643848288622	0.98348623853211
kazachstania naganishii	0.946387911405506	NA	0.496170565100393	0.968743531359967	0.983233285034154
kazachstania yakushimaensis	0.940944104285996	NA	0.504444005530318	0.971830985915493	0.988346829942722
kazachstania transvaalensis	0.93582578531509	NA	0.545769897860859	0.970321834650222	0.975474317445627
kazachstania taianensis	0.947194719471947	NA	0.526608910891089	0.974814203137903	0.983691164327002
kazachstania bromeliacearum	0.933186893648179	NA	0.912685337726524	0.775581182500458	0.98348623853211
kazachstania siamensis	0.96005486027773	NA	0.496170565100393	0.968743531359967	0.995199725698611
kazachstania unispora	0.940944104285996	NA	0.504444005530318	0.955362433339917	0.988346829942722
kazachstania solicola	0.974565493853328	NA	0.545769897860859	0.987847958174368	0.998445669068814
kazachstania aerobia	0.966386554621849	NA	0.526608910891089	0.957787766269298	0.977310231023102
sporopachydermia lactativora	0.977594339622642	0.944719018854109	0.912685337726524	0.955385220125786	0.989779874213837
lipomyces japonicus	0.96005486027773	0.989370821189782	0.772101790763431	0.970216776625825	0.997549481621112
nadsonia fulvescens	NA	NA	NA	NA	NA
lipomyces lipofer	0.974565493853328	0.933954276037257	0.531541066892464	0.987847958174368	0.998445669068814
candida emberorum	0.978663183104725	0.842586544741999	0.863923361637274	0.957787766269298	0.990202482037884
candida tanzawaensis	0.977594339622642	0.904569348968864	0.819045693489689	0.955385220125786	0.989779874213837
candida canberraensis	0.953426343865408	0.92757488715634	0.858432498974149	0.970216776625825	0.997549481621112
candida ascalaphidarum	0.980954176881011	0.882896473694135	0.752592871959268	0.934322033898305	0.992268527248727
candida tenuis	0.963777490297542	0.979855849196082	0.856218813527999	0.933468859730179	0.997412677878396
yamadazyma philogaea	0.99479969183359	0.897534668721109	0.863923361637274	0.902242543000218	0.99537750385208
yamadazyma nakazawae	0.969672462596037	0.904569348968864	0.819045693489689	0.948498748957465	0.987060250707643
yamadazyma scolyti	0.953426343865408	0.92757488715634	0.858432498974149	0.966565349544073	0.994050061551087
candida gorgasii	0.980954176881011	0.882896473694135	0.752592871959268	0.971297148114075	0.997792088316467
lipomyces doorenjongii	0.963777490297542	0.979855849196082	0.866118024889603	0.97751906864713	0.997412677878396
candida tammaniensis	0.99479969183359	0.897534668721109	0.753081664098613	0.980004300150505	0.99537750385208
candida gatunensis	0.953623770327244	0.713511259382819	0.598072676169444	0.969082513551496	0.901023890784983
candida cretensis	0.947517730496454	0.870719351570415	0.678419452887538	0.966565349544073	0.995231902904205
candida kruisii	0.93541858325667	0.873965041398344	0.881025838796761	0.971297148114075	0.997792088316467
candida pyralidae	0.955258126195029	0.736651947009233	0.866118024889603	0.97751906864713	0.995784825371337
candida auris	0.989249623736831	0.872500537518813	0.654482906901742	0.980004300150505	0.973434535104364
candida heveicola	0.953623770327244	NA	0.670491489768598	0.969082513551496	0.98546567221266
lipomyces kononenkoae	0.958215297450425	0.900672804532578	0.851983002832861	0.88556566970091	0.995231902904205
debaryomyces maramus	0.956605966679582	0.865555986051918	0.881025838796761	0.965098341689163	0.983727237504843
debaryomyces nepalensis	0.955805544395339	0.741462434712736	0.71494576134994	0.971876255524307	0.992543021032505
debaryomyces hansenii	0.965276350934868	0.835863377609108	0.637571157495256	0.957057735771523	0.986233819601397
debaryomyces fabryi	0.951998470070759	0.85140562248996	0.686149220071415	0.934410825032889	0.98546567221266
debaryomyces prosopidis	0.958215297450425	0.918012422360248	0.851983002832861	0.974445430346051	0.98846495119787
debaryomyces subglobosus	0.956605966679582	0.865555986051918	0.738086013173189	0.978070175438597	0.991065627030539
priceomyces medius	0.955805544395339	0.837246005129217	0.71494576134994	0.971876255524307	0.99136199276818
priceomyces castillae	0.969023034154091	0.847299444003177	0.565329626687847	0.970413026211279	0.986233819601397
candida schatavii	0.964958476807778	0.841401660927689	0.686149220071415	0.934410825032889	0.992505570184323
kodamaea laetipori	0.978653530377668	0.918012422360248	0.661756876663709	0.974445430346051	0.991060025542784
aciculoconidium aculeatum	0.969235751295337	0.758934372969461	0.498704663212435	0.978070175438597	0.99449481865285
candida restingae	0.971148957803762	0.91268429079817	0.599723811402644	0.953442493588479	0.991865785460092
kodamaea ohmeri	0.992562422525235	0.945634850363025	0.831591995749956	0.970413026211279	0.996812466796529
danielozyma ontarioensis	0.964958476807778	0.841401660927689	0.679157383026129	0.932405202418025	0.992505570184323
cephaloascus fragrans	0.978653530377668	NA	0.59710948327064	0.955482576172231	0.992872698475549
cephaloascus albidus	0.969235751295337	NA	0.498704663212435	0.96065414507772	0.99449481865285
lipomyces starkeyi	0.971148957803762	0.91268429079817	0.762186698243537	0.952042628774423	0.991865785460092
scheffersomyces stipitis	0.992562422525235	0.945634850363025	0.831591995749956	0.952696728558798	0.996812466796529
babjeviella inositovora	0.962447334676681	NA	0.780443911217756	0.965606878624275	0.963912804542957
candida fragi	0.959032052642751	0.852685204839737	0.82233071534706	0.962003820844831	0.992872698475549
kurtzmaniella cleridarum	0.909542195256481	0.859349145063431	0.386100386100386	NA	0.992140099282956
candida corydali	0.932109729623051	0.769686204854944	0.762186698243537	0.952042628774423	0.907242944543122
candida orthopsilosis	0.842396109637489	0.894341290893015	0.814544650751547	0.952696728558798	0.996463306808134
candida parapsilosis	0.895420915816837	0.900219956008798	0.780443911217756	0.965606878624275	0.949410117976405
candida dubliniensis	0.959032052642751	0.852685204839737	0.82233071534706	0.962003820844831	0.969645510507323
lipomyces arxii	0.909542195256481	0.859349145063431	0.837191358024691	0.97608024691358	0.992140099282956
Saccharomyces cerevisiae	NA	NA	NA	NA	NA
Saccharomyces paradoxus	NA	NA	NA	NA	NA
Saccharomyces eubayanus	NA	NA	NA	NA	NA
candida intermedia	NA	0.809695133497444	NA	0.936041486603284	NA
candida sojae	NA	0.850051440329218	0.837191358024691	0.97608024691358	NA
ambrosiozyma monospora	NA	0.958159577425633	NA	0.980539338337504	NA
candida succiphila	NA	0.7654613712705	NA	0.956925508792729	NA
trigonopsis vinaria	NA	0.950579929399899	0.152295409181637	0.966067864271457	0.987824351297405
